code,current_losses,current_ties,current_wins,d_rating,global_d,global_o,global_rating,goal_diff,goals_against,goals_scored,id,losses,make_champs,make_europa,make_playoffs,make_pro_rel,name,o_rating,position_1,pro_rel_d,pro_rel_o,promoted,relegated,sdr_id,ties,win_league,wins,current_points,last_updated,group
NUR,8.0,9.0,17.0,1.50619,1.32233,1.37775,46.84118,22.0,39.0,61.0,269,8.0,0.0,0.0,0.0,0.0,1. FC Nürnberg,1.19389,0.0,0.00045,0.00036,1.0,0.0,74077,9.0,0.0,17.0,60.0,2018-05-13 15:29,
F95,9.0,6.0,19.0,1.7465,1.56264,1.32251,40.46249,13.0,44.0,57.0,9707,9.0,0.0,0.0,0.0,0.0,Fortuna Düsseldorf,1.13865,1.0,0.00052,0.00034,1.0,0.0,79413,6.0,1.0,19.0,63.0,2018-05-13 15:29,
FUR,14.0,10.0,10.0,1.68674,1.50288,1.00028,33.82866,-11.0,48.0,37.0,3070,14.0,0.0,0.0,0.0,0.0,SpVgg Greuther Fürth,0.81642,0.0,0.00051,0.00024,0.0,0.0,74064,10.0,0.0,10.0,40.0,2018-05-13 15:29,
HOL,6.0,14.0,14.0,1.62491,1.44104,1.5313,47.78919,27.0,44.0,71.0,7884,6.0,0.0,0.0,0.0,1.0,Holstein Kiel,1.34744,0.0,1.62491,1.34744,0.34016,0.0,74074,14.0,0.0,14.0,56.0,2018-05-13 15:29,
ERZ,14.0,10.0,10.0,1.74656,1.56269,0.92611,30.85236,-14.0,49.0,35.0,3849,14.0,0.0,0.0,0.0,0.0,Erzgebirge Aue,0.74225,0.0,0.00052,0.00022,0.0,0.50478,74059,10.0,0.0,10.0,40.0,2018-05-13 15:29,
FCH,14.0,9.0,11.0,1.80789,1.62403,1.18447,36.00558,-6.0,56.0,50.0,6418,14.0,0.0,0.0,0.0,0.0,1. FC Heidenheim 1846,1.0006,0.0,0.00054,0.0003,0.0,0.0,78229,9.0,0.0,11.0,42.0,2018-05-13 15:29,
DRES,15.0,8.0,11.0,1.66099,1.47713,1.11623,37.22323,-10.0,52.0,42.0,7017,15.0,0.0,0.0,0.0,0.0,Dynamo Dresden,0.93237,0.0,0.0005,0.00028,0.0,0.0,79405,8.0,0.0,11.0,41.0,2018-05-13 15:29,
SVS,13.0,10.0,11.0,1.51236,1.3285,0.94381,35.83762,2.0,33.0,35.0,6392,13.0,0.0,0.0,0.0,0.0,SV Sandhausen,0.75995,0.0,0.00045,0.00023,0.0,0.0,74085,10.0,0.0,11.0,43.0,2018-05-13 15:29,
STP,13.0,10.0,11.0,1.65588,1.47202,1.07947,36.41308,-13.0,48.0,35.0,270,13.0,0.0,0.0,0.0,0.0,FC St. Pauli,0.89561,0.0,0.0005,0.00027,0.0,0.0,74068,10.0,0.0,11.0,43.0,2018-05-13 15:29,
FCK,17.0,8.0,9.0,1.89163,1.70777,1.16718,34.0345,-13.0,55.0,42.0,130,17.0,0.0,0.0,0.0,0.0,1. FC Kaiserslautern,0.98332,0.0,0.00057,0.00029,0.0,1.0,74037,8.0,0.0,9.0,35.0,2018-05-13 15:29,
EBS,11.0,15.0,8.0,1.69899,1.51513,1.03855,34.54939,-6.0,43.0,37.0,3067,11.0,0.0,0.0,0.0,0.0,Eintracht Braunschweig,0.85469,0.0,0.00051,0.00026,0.0,1.0,74075,15.0,0.0,8.0,39.0,2018-05-13 15:29,
FCU,11.0,11.0,12.0,1.5825,1.39864,1.3302,44.05051,8.0,46.0,54.0,598,11.0,0.0,0.0,0.0,0.0,1. FC Union Berlin,1.14634,0.0,0.00047,0.00034,0.0,0.0,74058,11.0,0.0,12.0,47.0,2018-05-13 15:29,
JAH,14.0,6.0,14.0,1.92113,1.73727,1.32854,37.20823,0.0,53.0,53.0,11017,14.0,0.0,0.0,0.0,0.0,Jahn Regensburg,1.14468,0.0,0.00058,0.00034,0.0,0.0,79423,6.0,0.0,14.0,48.0,2018-05-13 15:29,
DSC,10.0,12.0,12.0,1.6131,1.42924,1.3146,43.02778,4.0,47.0,51.0,2506,10.0,0.0,0.0,0.0,0.0,Arminia Bielefeld,1.13074,0.0,0.00048,0.00034,0.0,0.0,74043,12.0,0.0,12.0,48.0,2018-05-13 15:29,
BOC,12.0,9.0,13.0,1.64385,1.45999,1.14568,38.29561,-3.0,40.0,37.0,121,12.0,0.0,0.0,0.0,0.0,VfL Bochum,0.96182,0.0,0.00049,0.00029,0.0,0.0,74055,9.0,0.0,13.0,48.0,2018-05-13 15:29,
ING,13.0,9.0,12.0,1.56709,1.38323,1.37102,45.34889,2.0,45.0,47.0,6367,13.0,0.0,0.0,0.0,0.0,FC Ingolstadt 04,1.18716,0.0,0.00047,0.00036,0.0,0.0,79434,9.0,0.0,12.0,45.0,2018-05-13 15:29,
DRM,11.0,13.0,10.0,1.5426,1.35874,1.21703,42.16935,2.0,45.0,47.0,3812,11.0,0.0,0.0,0.0,0.0,SV Darmstadt 98,1.03316,0.0,0.00046,0.00031,0.0,0.0,74070,13.0,0.0,10.0,43.0,2018-05-13 15:29,
MSV,12.0,9.0,13.0,1.83216,1.6483,1.32871,38.91212,-4.0,56.0,52.0,3308,12.0,0.0,0.0,0.0,0.0,MSV Duisburg,1.14485,0.0,0.00055,0.00034,0.0,0.0,74038,9.0,0.0,13.0,48.0,2018-05-13 15:29,
NUR,7.0,9.0,17.0,1.44751,1.26364,1.3843,48.30895,23.6966,37.0632,60.7598,269,7.21425,0.0,0.0,0.0,0.0,1. FC Nürnberg,1.20043,0.78575,0.00109,0.0009,1.0,0.0,74077,9.26265,0.78575,17.5231,60.0,2018-05-06 15:26,
F95,9.0,6.0,18.0,1.75512,1.57126,1.27433,39.15932,11.3034,43.7598,55.0632,9707,9.5231,0.0,0.0,0.0,0.0,Fortuna Düsseldorf,1.09046,0.21425,0.00132,0.00082,1.0,0.0,79413,6.26265,0.21425,18.21425,60.0,2018-05-06 15:26,
FUR,14.0,9.0,10.0,1.70436,1.5205,1.01391,33.83253,-11.405,48.501,37.096,3070,14.45035,0.0,0.0,0.0,0.0,SpVgg Greuther Fürth,0.83005,0.0,0.00128,0.00062,0.0,0.589,74064,9.2872,0.0,10.26245,39.0,2018-05-06 15:26,
HOL,6.0,14.0,13.0,1.58126,1.3974,1.43426,46.51836,23.75575,42.8975,66.65325,7884,6.1943,0.0,0.0,0.0,1.0,Holstein Kiel,1.2504,0.0,1.58178,1.24955,0.32375,0.0,74074,14.2671,0.0,13.5386,53.0,2018-05-06 15:26,
ERZ,13.0,10.0,10.0,1.78695,1.60309,0.93756,30.40963,-13.8085,49.5969,35.7884,3849,13.54905,0.0,0.0,0.0,0.0,Erzgebirge Aue,0.7537,0.0,0.00134,0.00057,0.0,0.33665,74059,10.2791,0.0,10.17185,40.0,2018-05-06 15:26,
FCH,13.0,8.0,11.0,1.86305,1.67919,1.22063,35.8132,-4.7025,56.6388,51.9363,6418,13.6525,0.0,0.0,0.0,0.0,1. FC Heidenheim 1846,1.03676,0.0,0.0014,0.00078,0.0,0.00755,78229,8.56015,0.0,11.78735,41.0,2018-05-06 15:26,
DRES,14.0,8.0,11.0,1.68141,1.49755,1.14895,37.61902,-8.9801,52.3476,43.3675,7017,14.35235,0.0,0.0,0.0,0.0,Dynamo Dresden,0.96509,0.0,0.00126,0.00072,0.0,0.0087,79405,8.2848,0.0,11.36285,41.0,2018-05-06 15:26,
SVS,13.0,9.0,11.0,1.53876,1.35489,0.97308,36.06435,1.41805,34.48275,35.9008,6392,13.4933,0.0,0.0,0.0,0.0,SV Sandhausen,0.78922,0.0,0.00115,0.00059,0.0,0.0,74085,9.29275,0.0,11.21395,42.0,2018-05-06 15:26,
STP,12.0,10.0,11.0,1.65919,1.47533,1.10423,36.96228,-11.3871,47.6127,36.2256,270,12.4474,0.0,0.0,0.0,0.0,FC St. Pauli,0.92037,0.0,0.00124,0.00069,0.0,0.0,74068,10.2761,0.0,11.2765,43.0,2018-05-06 15:26,
FCK,17.0,8.0,7.0,1.9432,1.75934,1.12747,32.1823,-16.86035,57.3447,40.48435,130,17.9239,0.0,0.0,0.0,0.0,1. FC Kaiserslautern,0.94361,0.0,0.00146,0.00071,0.0,1.0,74037,8.5158,0.0,7.5603,29.0,2018-05-06 15:26,
EBS,10.0,15.0,8.0,1.58395,1.40009,1.01038,36.10966,-2.75575,38.65325,35.8975,3067,10.5386,0.0,0.0,0.0,0.0,Eintracht Braunschweig,0.82652,0.0,0.00119,0.00062,0.0,0.5094,74075,15.2671,0.0,8.1943,39.0,2018-05-06 15:26,
FCU,11.0,11.0,11.0,1.6296,1.44574,1.34586,43.41967,6.9801,47.3675,54.3476,598,11.36285,0.0,0.0,0.0,0.0,1. FC Union Berlin,1.162,0.0,0.00122,0.00087,0.0,0.0,74058,11.2848,0.0,11.35235,44.0,2018-05-06 15:26,
JAH,14.0,5.0,14.0,1.94136,1.7575,1.33211,36.91081,-0.33045,53.64345,53.313,11017,14.43715,0.0,0.0,0.0,0.0,Jahn Regensburg,1.14825,0.0,0.00146,0.00086,0.0,0.0,79423,5.2686,0.0,14.29425,47.0,2018-05-06 15:26,
DSC,10.0,11.0,12.0,1.66147,1.47761,1.33611,42.52184,4.58195,47.9008,52.48275,2506,10.21395,0.0,0.0,0.0,0.0,Arminia Bielefeld,1.15225,0.0,0.00125,0.00086,0.0,0.0,74043,11.29275,0.0,12.4933,47.0,2018-05-06 15:26,
BOC,12.0,8.0,13.0,1.64847,1.46461,1.15805,38.50606,-2.66955,40.313,37.64345,121,12.29425,0.0,0.0,0.0,0.0,VfL Bochum,0.97419,0.0,0.00124,0.00073,0.0,0.0,74055,8.2686,0.0,13.43715,47.0,2018-05-06 15:26,
ING,12.0,9.0,12.0,1.48522,1.30136,1.38092,47.38212,4.96785,42.94155,47.9094,6367,12.17025,0.0,0.0,0.0,0.0,FC Ingolstadt 04,1.19706,0.0,0.00111,0.0009,0.0,0.0,79434,9.24285,0.0,12.5869,45.0,2018-05-06 15:26,
DRM,11.0,13.0,9.0,1.56115,1.37729,1.24486,42.45338,1.8085,45.7884,47.5969,3812,11.17185,0.0,0.0,0.0,0.0,SV Darmstadt 98,1.061,0.0,0.00117,0.0008,0.0,0.0427,74070,13.2791,0.0,9.54905,40.0,2018-05-06 15:26,
MSV,12.0,9.0,12.0,1.87299,1.68913,1.33126,38.18253,-5.6129,57.2256,51.6127,3308,12.2765,0.0,0.0,0.0,0.0,MSV Duisburg,1.14739,0.0,0.0014,0.00086,0.0,0.0,74038,9.2761,0.0,12.4474,45.0,2018-05-06 15:26,
NUR,7.0,9.0,16.0,1.49043,1.30656,1.36486,46.88597,21.7043,38.2355,59.9398,269,7.55035,0.0,0.0,0.0,0.04655,1. FC Nürnberg,1.181,0.455,1.5648,1.11714,0.96575,0.0,74077,9.58455,0.455,16.8651,57.0,2018-04-30 20:22,
F95,9.0,5.0,18.0,1.76319,1.57933,1.29889,39.576,11.3798,44.29825,55.67805,9707,9.86875,0.0,0.0,0.0,0.0,Fortuna Düsseldorf,1.11503,0.545,0.00132,0.00084,1.0,0.0,79413,5.53975,0.545,18.5915,59.0,2018-04-30 20:22,
FUR,14.0,8.0,10.0,1.67937,1.49551,1.0088,34.18431,-11.3379,47.7987,36.4608,3070,14.78665,0.0,0.0,0.0,0.0,SpVgg Greuther Fürth,0.82494,0.0,0.00126,0.00062,0.0,0.40345,74064,8.5896,0.0,10.62375,38.0,2018-04-30 20:22,
HOL,6.0,13.0,13.0,1.61318,1.42932,1.44057,45.97637,23.7143,43.4782,67.1925,7884,6.56305,0.0,0.0,0.0,0.9238,Holstein Kiel,1.2567,0.0,1.60983,1.25268,0.3303,0.0,74074,13.5456,0.0,13.89135,52.0,2018-04-30 20:22,
ERZ,13.0,9.0,10.0,1.8455,1.66164,0.9775,30.34882,-13.8234,50.9438,37.1204,3849,13.9031,0.0,0.0,0.0,0.0,Erzgebirge Aue,0.79364,0.0,0.00138,0.0006,0.0,0.3471,74059,9.5729,0.0,10.524,39.0,2018-04-30 20:22,
FCH,13.0,8.0,11.0,1.86305,1.67919,1.22063,35.8132,-4.7105,56.6291,51.9186,6418,13.64395,0.0,0.0,0.0,0.0,1. FC Heidenheim 1846,1.03676,0.0,0.0014,0.00078,0.0,0.00885,78229,8.57165,0.0,11.7844,41.0,2018-04-30 20:22,
DRES,14.0,7.0,11.0,1.74983,1.56597,1.18689,37.18475,-8.86195,53.5688,44.70685,7017,14.6777,0.0,0.0,0.0,0.0,Dynamo Dresden,1.00303,0.0,0.00131,0.00075,0.0,0.0786,79405,7.5881,0.0,11.7342,40.0,2018-04-30 20:22,
SVS,12.0,9.0,11.0,1.51556,1.3317,1.00184,37.29306,3.3277,33.72415,37.05185,6392,12.8598,0.0,0.0,0.0,0.0,SV Sandhausen,0.81798,0.0,0.00114,0.00061,0.0,0.0,74085,9.6016,0.0,11.5386,42.0,2018-04-30 20:22,
STP,12.0,10.0,10.0,1.70638,1.52252,1.12638,36.57191,-12.4108,49.03535,36.62455,270,12.81145,0.0,0.0,0.0,0.0,FC St. Pauli,0.94252,0.0,0.00128,0.00071,0.0,0.1077,74068,10.5617,0.0,10.62685,40.0,2018-04-30 20:22,
FCK,17.0,8.0,7.0,1.9432,1.75934,1.12747,32.1823,-16.8052,57.3272,40.522,130,17.90845,0.0,0.0,0.0,0.0,1. FC Kaiserslautern,0.94361,0.0,0.00146,0.00071,0.0,1.0,74037,8.5248,0.0,7.56675,29.0,2018-04-30 20:22,
EBS,9.0,15.0,8.0,1.57062,1.38675,1.04233,37.19869,-0.809,37.9129,37.1039,3067,9.8959,0.0,0.0,0.0,0.0,Eintracht Braunschweig,0.85847,0.0,0.00118,0.00064,0.0,0.19065,74075,15.5794,0.0,8.5247,39.0,2018-04-30 20:22,
FCU,11.0,11.0,10.0,1.64367,1.4598,1.26508,41.20334,5.2076,47.52105,52.72865,598,11.65505,0.0,0.0,0.0,0.0,1. FC Union Berlin,1.08122,0.0,0.00123,0.00081,0.0,0.00375,74058,11.58825,0.0,10.7567,41.0,2018-04-30 20:22,
JAH,13.0,5.0,14.0,1.92028,1.73642,1.3525,37.7674,2.77025,52.0455,54.81575,11017,13.77265,0.0,0.0,0.0,0.00745,Jahn Regensburg,1.16864,0.0,1.82045,1.25458,0.002,0.0,79423,5.5557,0.0,14.67165,47.0,2018-04-30 20:22,
DSC,9.0,11.0,12.0,1.6948,1.51094,1.37246,42.68127,5.58185,48.34295,53.9248,2506,9.57425,0.0,0.0,0.0,0.0138,Arminia Bielefeld,1.1886,0.0,1.61899,1.25829,0.0038,0.0,74043,11.57645,0.0,12.8493,47.0,2018-04-30 20:22,
BOC,11.0,8.0,13.0,1.5447,1.36084,1.16788,40.90817,-0.93645,38.6684,37.73195,121,11.7012,0.0,0.0,0.0,0.0084,VfL Bochum,0.98402,0.0,1.47115,1.05288,0.0025,0.0,74055,8.5755,0.0,13.7233,47.0,2018-04-30 20:22,
ING,12.0,9.0,11.0,1.53248,1.34862,1.37,46.07893,3.0328,44.14245,47.17525,6367,12.50045,0.0,0.0,0.0,0.0,FC Ingolstadt 04,1.18614,0.0,0.00115,0.00089,0.0,0.0,79434,9.5512,0.0,11.94835,42.0,2018-04-30 20:22,
DRM,11.0,13.0,8.0,1.58651,1.40265,1.23124,41.58215,-1.35605,47.4276,46.07155,3812,11.57345,0.0,0.0,0.0,0.0,SV Darmstadt 98,1.04738,0.0,0.00119,0.00079,0.0,0.36075,74070,13.55325,0.0,8.8733,37.0,2018-04-30 20:22,
MSV,12.0,8.0,12.0,1.86402,1.68016,1.31245,37.92292,-5.66735,56.61295,50.9456,3308,12.6401,0.0,0.0,0.0,0.0,MSV Duisburg,1.12859,0.0,0.0014,0.00085,0.0,0.0,74038,8.5674,0.0,12.7925,44.0,2018-04-30 20:22,
NUR,7.0,9.0,15.0,1.53403,1.35016,1.34666,45.49177,20.1875,39.22715,59.41465,269,7.79075,0.0,0.0,0.0,0.04385,1. FC Nürnberg,1.16279,0.4871,1.63136,1.08198,0.96555,0.0,74077,9.8702,0.4871,16.33905,54.0,2018-04-23 20:23,
