promoted,ties,points,goals_against,name,relegated,goal_diff,goals_scored,losses,o_rating,global_d,current_wins,current_losses,wins,win_league,global_rating,sdr_id,make_europa,position_1,id,make_champs,global_o,make_playoffs,d_rating,current_points,code,current_ties,current_time,last_updated
0.0,9.0,69.0,36.0,Galatasaray,0.0,36.0,72.0,5.0,2.25944,0.9879700000000001,20.0,5.0,20.0,1.0,72.07092,74205,0.0,1.0,432,1.0,2.24609,0.0,0.9746299999999999,69.0,GAL,9.0,2019-06-10 01:01,2019-05-26 18:00
0.0,11.0,41.0,54.0,Sivasspor,0.0,-5.0,49.0,13.0,1.66347,1.59836,10.0,13.0,10.0,0.0,47.22142,74211,0.0,0.0,3691,0.0,1.6501299999999999,0.0,1.58502,41.0,SIV,11.0,2019-06-10 01:01,2019-05-26 18:00
0.0,14.0,41.0,50.0,Caykur Rizespor,0.0,-2.0,48.0,11.0,1.62804,1.32145,9.0,11.0,9.0,0.0,52.427859999999995,74209,0.0,0.0,7656,0.0,1.6147,0.0,1.3081,41.0,CAY,14.0,2019-06-10 01:01,2019-05-26 18:00
0.0,9.0,63.0,46.0,Trabzonspor,0.0,18.0,64.0,7.0,2.05321,1.26072,18.0,7.0,18.0,0.0,62.488769999999995,74203,0.0,0.0,997,0.0,2.03986,0.0,1.24737,63.0,TRA,9.0,2019-06-10 01:01,2019-05-26 18:00
0.0,11.0,41.0,50.0,Kayserispor,0.0,-15.0,35.0,13.0,1.2367299999999999,1.50425,10.0,13.0,10.0,0.0,39.345420000000004,74207,0.0,0.0,3643,0.0,1.22339,0.0,1.49091,41.0,KAY,11.0,2019-06-10 01:01,2019-05-26 18:00
0.0,8.0,47.0,46.0,Yeni Malatyaspor,0.0,1.0,47.0,13.0,1.39486,1.43428,13.0,13.0,13.0,0.0,44.60266,111054,0.0,0.0,18790,0.0,1.38151,0.0,1.42093,47.0,MAL,8.0,2019-06-10 01:01,2019-05-26 18:00
0.0,16.0,37.0,37.0,Bursaspor,1.0,-9.0,28.0,11.0,0.9046799999999999,1.03078,7.0,11.0,7.0,0.0,41.03836,74213,0.0,0.0,810,0.0,0.8913399999999999,0.0,1.01744,37.0,BUR,16.0,2019-06-10 01:01,2019-05-26 18:00
0.0,17.0,44.0,38.0,Konyaspor,0.0,2.0,40.0,8.0,1.18147,0.98795,9.0,8.0,9.0,0.0,49.66944,74210,0.0,0.0,7648,0.0,1.16813,0.0,0.9746,44.0,KNY,17.0,2019-06-10 01:01,2019-05-26 18:00
0.0,6.0,45.0,55.0,Antalyaspor,0.0,-16.0,39.0,15.0,1.256,1.5933,13.0,15.0,13.0,0.0,38.01931,84911,0.0,0.0,3794,0.0,1.24266,0.0,1.57996,45.0,ANT,6.0,2019-06-10 01:01,2019-05-26 18:00
0.0,8.0,44.0,43.0,Alanyaspor,0.0,-6.0,37.0,14.0,1.3452600000000001,1.29863,12.0,14.0,12.0,0.0,46.40105,110272,0.0,0.0,9078,0.0,1.33192,0.0,1.28528,44.0,ALA,8.0,2019-06-10 01:01,2019-05-26 18:00
0.0,5.0,38.0,42.0,Goztepe,0.0,-5.0,37.0,18.0,1.28131,1.19303,11.0,18.0,11.0,0.0,47.2514,111055,0.0,0.0,789,0.0,1.26797,0.0,1.1796799999999998,38.0,GOZ,5.0,2019-06-10 01:01,2019-05-26 18:00
0.0,7.0,40.0,53.0,Ankaragucu,0.0,-15.0,38.0,16.0,1.25511,1.44804,11.0,16.0,11.0,0.0,40.9575,74201,0.0,0.0,2429,0.0,1.24177,0.0,1.4347,40.0,ANK,7.0,2019-06-10 01:01,2019-05-26 18:00
0.0,10.0,67.0,22.0,Istanbul Basaksehir,0.0,27.0,49.0,5.0,1.51986,0.77369,19.0,5.0,19.0,0.0,63.36121,74215,0.0,0.0,7914,1.0,1.50651,0.0,0.76034,67.0,IBB,10.0,2019-06-10 01:01,2019-05-26 18:00
0.0,11.0,35.0,43.0,Erzurumspor,1.0,-7.0,36.0,15.0,1.2072399999999999,1.22204,8.0,15.0,8.0,0.0,44.72135,111694,0.0,0.0,19267,0.0,1.1939,0.0,1.20869,35.0,ERZ,11.0,2019-06-10 01:01,2019-05-26 18:00
0.0,8.0,65.0,47.0,Besiktas,0.0,25.0,72.0,7.0,2.3508400000000003,1.27681,19.0,7.0,19.0,0.0,67.42603000000001,74202,0.0,0.0,1895,0.0,2.3375,0.0,1.26347,65.0,BES,8.0,2019-06-10 01:01,2019-05-26 18:00
0.0,9.0,27.0,54.0,Akhisar Belediye,1.0,-20.0,34.0,19.0,1.0925799999999999,1.40095,6.0,19.0,6.0,0.0,37.88864,105185,0.0,0.0,18330,0.0,1.07924,0.0,1.38761,27.0,AKB,9.0,2019-06-10 01:01,2019-05-26 18:00
0.0,6.0,39.0,62.0,Kasimpasa,0.0,-9.0,53.0,17.0,1.5295,1.7180900000000001,11.0,17.0,11.0,0.0,41.84838,74216,0.0,0.0,6870,0.0,1.51616,0.0,1.70475,39.0,KAS,6.0,2019-06-10 01:01,2019-05-26 18:00
0.0,13.0,46.0,44.0,Fenerbahce,0.0,0.0,44.0,10.0,1.63207,1.10544,11.0,10.0,11.0,0.0,57.5222,74204,0.0,0.0,436,0.0,1.61873,0.0,1.0921,46.0,FEN,13.0,2019-06-09 01:01,2019-05-26 18:00
0.0,9.0,69.0,36.0,Galatasaray,0.0,36.0,72.0,5.0,2.25944,0.98797,20.0,5.0,20.0,1.0,72.07092,74205,0.0,1.0,432,1.0,2.24609,0.0,0.97463,69.0,GAL,9.0,2019-06-09 01:01,2019-05-26 18:00
0.0,11.0,41.0,54.0,Sivasspor,0.0,-5.0,49.0,13.0,1.66347,1.59836,10.0,13.0,10.0,0.0,47.22142,74211,0.0,0.0,3691,0.0,1.65013,0.0,1.58502,41.0,SIV,11.0,2019-06-09 01:01,2019-05-26 18:00
0.0,14.0,41.0,50.0,Caykur Rizespor,0.0,-2.0,48.0,11.0,1.62804,1.32145,9.0,11.0,9.0,0.0,52.42786,74209,0.0,0.0,7656,0.0,1.6147,0.0,1.3081,41.0,CAY,14.0,2019-06-09 01:01,2019-05-26 18:00
0.0,9.0,63.0,46.0,Trabzonspor,0.0,18.0,64.0,7.0,2.05321,1.26072,18.0,7.0,18.0,0.0,62.48877,74203,0.0,0.0,997,0.0,2.03986,0.0,1.24737,63.0,TRA,9.0,2019-06-09 01:01,2019-05-26 18:00
0.0,11.0,41.0,50.0,Kayserispor,0.0,-15.0,35.0,13.0,1.23673,1.50425,10.0,13.0,10.0,0.0,39.34542,74207,0.0,0.0,3643,0.0,1.22339,0.0,1.49091,41.0,KAY,11.0,2019-06-09 01:01,2019-05-26 18:00
0.0,8.0,47.0,46.0,Yeni Malatyaspor,0.0,1.0,47.0,13.0,1.39486,1.43428,13.0,13.0,13.0,0.0,44.60266,111054,0.0,0.0,18790,0.0,1.38151,0.0,1.42093,47.0,MAL,8.0,2019-06-09 01:01,2019-05-26 18:00
0.0,16.0,37.0,37.0,Bursaspor,1.0,-9.0,28.0,11.0,0.90468,1.03078,7.0,11.0,7.0,0.0,41.03836,74213,0.0,0.0,810,0.0,0.8913399999999999,0.0,1.01744,37.0,BUR,16.0,2019-06-09 01:01,2019-05-26 18:00
0.0,17.0,44.0,38.0,Konyaspor,0.0,2.0,40.0,8.0,1.18147,0.98795,9.0,8.0,9.0,0.0,49.66944,74210,0.0,0.0,7648,0.0,1.16813,0.0,0.9746,44.0,KNY,17.0,2019-06-09 01:01,2019-05-26 18:00
0.0,6.0,45.0,55.0,Antalyaspor,0.0,-16.0,39.0,15.0,1.256,1.5933,13.0,15.0,13.0,0.0,38.01931,84911,0.0,0.0,3794,0.0,1.24266,0.0,1.57996,45.0,ANT,6.0,2019-06-09 01:01,2019-05-26 18:00
0.0,8.0,44.0,43.0,Alanyaspor,0.0,-6.0,37.0,14.0,1.34526,1.29863,12.0,14.0,12.0,0.0,46.40105,110272,0.0,0.0,9078,0.0,1.33192,0.0,1.28528,44.0,ALA,8.0,2019-06-09 01:01,2019-05-26 18:00
0.0,5.0,38.0,42.0,Goztepe,0.0,-5.0,37.0,18.0,1.28131,1.19303,11.0,18.0,11.0,0.0,47.2514,111055,0.0,0.0,789,0.0,1.26797,0.0,1.1796799999999998,38.0,GOZ,5.0,2019-06-09 01:01,2019-05-26 18:00
0.0,7.0,40.0,53.0,Ankaragucu,0.0,-15.0,38.0,16.0,1.25511,1.44804,11.0,16.0,11.0,0.0,40.9575,74201,0.0,0.0,2429,0.0,1.24177,0.0,1.4347,40.0,ANK,7.0,2019-06-09 01:01,2019-05-26 18:00
0.0,10.0,67.0,22.0,Istanbul Basaksehir,0.0,27.0,49.0,5.0,1.51986,0.77369,19.0,5.0,19.0,0.0,63.36121,74215,0.0,0.0,7914,1.0,1.50651,0.0,0.76034,67.0,IBB,10.0,2019-06-09 01:01,2019-05-26 18:00
0.0,11.0,35.0,43.0,Erzurumspor,1.0,-7.0,36.0,15.0,1.20724,1.22204,8.0,15.0,8.0,0.0,44.72135,111694,0.0,0.0,19267,0.0,1.1939,0.0,1.20869,35.0,ERZ,11.0,2019-06-09 01:01,2019-05-26 18:00
0.0,8.0,65.0,47.0,Besiktas,0.0,25.0,72.0,7.0,2.3508400000000003,1.27681,19.0,7.0,19.0,0.0,67.42603000000001,74202,0.0,0.0,1895,0.0,2.3375,0.0,1.26347,65.0,BES,8.0,2019-06-09 01:01,2019-05-26 18:00
0.0,9.0,27.0,54.0,Akhisar Belediye,1.0,-20.0,34.0,19.0,1.09258,1.40095,6.0,19.0,6.0,0.0,37.88864,105185,0.0,0.0,18330,0.0,1.07924,0.0,1.38761,27.0,AKB,9.0,2019-06-09 01:01,2019-05-26 18:00
0.0,6.0,39.0,62.0,Kasimpasa,0.0,-9.0,53.0,17.0,1.5295,1.71809,11.0,17.0,11.0,0.0,41.84838,74216,0.0,0.0,6870,0.0,1.51616,0.0,1.70475,39.0,KAS,6.0,2019-06-09 01:01,2019-05-26 18:00
0.0,13.0,46.0,44.0,Fenerbahce,0.0,0.0,44.0,10.0,1.6320700000000001,1.10544,11.0,10.0,11.0,0.0,57.5222,74204,0.0,0.0,436,0.0,1.61873,0.0,1.0921,46.0,FEN,13.0,2019-06-08 01:01,2019-05-26 18:00
0.0,9.0,69.0,36.0,Galatasaray,0.0,36.0,72.0,5.0,2.25944,0.9879700000000001,20.0,5.0,20.0,1.0,72.07092,74205,0.0,1.0,432,1.0,2.24609,0.0,0.9746299999999999,69.0,GAL,9.0,2019-06-08 01:01,2019-05-26 18:00
0.0,11.0,41.0,54.0,Sivasspor,0.0,-5.0,49.0,13.0,1.66347,1.59836,10.0,13.0,10.0,0.0,47.22142,74211,0.0,0.0,3691,0.0,1.6501299999999999,0.0,1.58502,41.0,SIV,11.0,2019-06-08 01:01,2019-05-26 18:00
0.0,14.0,41.0,50.0,Caykur Rizespor,0.0,-2.0,48.0,11.0,1.62804,1.32145,9.0,11.0,9.0,0.0,52.427859999999995,74209,0.0,0.0,7656,0.0,1.6147,0.0,1.3081,41.0,CAY,14.0,2019-06-08 01:01,2019-05-26 18:00
0.0,9.0,63.0,46.0,Trabzonspor,0.0,18.0,64.0,7.0,2.05321,1.26072,18.0,7.0,18.0,0.0,62.488769999999995,74203,0.0,0.0,997,0.0,2.03986,0.0,1.24737,63.0,TRA,9.0,2019-06-08 01:01,2019-05-26 18:00
0.0,11.0,41.0,50.0,Kayserispor,0.0,-15.0,35.0,13.0,1.2367299999999999,1.50425,10.0,13.0,10.0,0.0,39.345420000000004,74207,0.0,0.0,3643,0.0,1.22339,0.0,1.49091,41.0,KAY,11.0,2019-06-08 01:01,2019-05-26 18:00
0.0,8.0,47.0,46.0,Yeni Malatyaspor,0.0,1.0,47.0,13.0,1.39486,1.43428,13.0,13.0,13.0,0.0,44.60266,111054,0.0,0.0,18790,0.0,1.38151,0.0,1.42093,47.0,MAL,8.0,2019-06-08 01:01,2019-05-26 18:00
0.0,16.0,37.0,37.0,Bursaspor,1.0,-9.0,28.0,11.0,0.9046799999999999,1.03078,7.0,11.0,7.0,0.0,41.03836,74213,0.0,0.0,810,0.0,0.8913399999999999,0.0,1.01744,37.0,BUR,16.0,2019-06-08 01:01,2019-05-26 18:00
0.0,17.0,44.0,38.0,Konyaspor,0.0,2.0,40.0,8.0,1.18147,0.98795,9.0,8.0,9.0,0.0,49.66944,74210,0.0,0.0,7648,0.0,1.16813,0.0,0.9746,44.0,KNY,17.0,2019-06-08 01:01,2019-05-26 18:00
0.0,6.0,45.0,55.0,Antalyaspor,0.0,-16.0,39.0,15.0,1.256,1.5933,13.0,15.0,13.0,0.0,38.01931,84911,0.0,0.0,3794,0.0,1.24266,0.0,1.57996,45.0,ANT,6.0,2019-06-08 01:01,2019-05-26 18:00
0.0,8.0,44.0,43.0,Alanyaspor,0.0,-6.0,37.0,14.0,1.3452600000000001,1.29863,12.0,14.0,12.0,0.0,46.40105,110272,0.0,0.0,9078,0.0,1.33192,0.0,1.28528,44.0,ALA,8.0,2019-06-08 01:01,2019-05-26 18:00
0.0,5.0,38.0,42.0,Goztepe,0.0,-5.0,37.0,18.0,1.28131,1.19303,11.0,18.0,11.0,0.0,47.2514,111055,0.0,0.0,789,0.0,1.26797,0.0,1.1796799999999998,38.0,GOZ,5.0,2019-06-08 01:01,2019-05-26 18:00
0.0,7.0,40.0,53.0,Ankaragucu,0.0,-15.0,38.0,16.0,1.25511,1.44804,11.0,16.0,11.0,0.0,40.9575,74201,0.0,0.0,2429,0.0,1.24177,0.0,1.4347,40.0,ANK,7.0,2019-06-08 01:01,2019-05-26 18:00
0.0,10.0,67.0,22.0,Istanbul Basaksehir,0.0,27.0,49.0,5.0,1.51986,0.77369,19.0,5.0,19.0,0.0,63.36121,74215,0.0,0.0,7914,1.0,1.50651,0.0,0.76034,67.0,IBB,10.0,2019-06-08 01:01,2019-05-26 18:00
0.0,11.0,35.0,43.0,Erzurumspor,1.0,-7.0,36.0,15.0,1.2072399999999999,1.22204,8.0,15.0,8.0,0.0,44.72135,111694,0.0,0.0,19267,0.0,1.1939,0.0,1.20869,35.0,ERZ,11.0,2019-06-08 01:01,2019-05-26 18:00
0.0,8.0,65.0,47.0,Besiktas,0.0,25.0,72.0,7.0,2.3508400000000003,1.27681,19.0,7.0,19.0,0.0,67.42603000000001,74202,0.0,0.0,1895,0.0,2.3375,0.0,1.26347,65.0,BES,8.0,2019-06-08 01:01,2019-05-26 18:00
0.0,9.0,27.0,54.0,Akhisar Belediye,1.0,-20.0,34.0,19.0,1.0925799999999999,1.40095,6.0,19.0,6.0,0.0,37.88864,105185,0.0,0.0,18330,0.0,1.07924,0.0,1.38761,27.0,AKB,9.0,2019-06-08 01:01,2019-05-26 18:00
0.0,6.0,39.0,62.0,Kasimpasa,0.0,-9.0,53.0,17.0,1.5295,1.7180900000000001,11.0,17.0,11.0,0.0,41.84838,74216,0.0,0.0,6870,0.0,1.51616,0.0,1.70475,39.0,KAS,6.0,2019-06-08 01:01,2019-05-26 18:00
0.0,13.0,46.0,44.0,Fenerbahce,0.0,0.0,44.0,10.0,1.63207,1.10544,11.0,10.0,11.0,0.0,57.5222,74204,0.0,0.0,436,0.0,1.61873,0.0,1.0921,46.0,FEN,13.0,2019-06-08 01:01,2019-05-26 18:00
0.0,9.0,69.0,36.0,Galatasaray,0.0,36.0,72.0,5.0,2.25944,0.98797,20.0,5.0,20.0,1.0,72.07092,74205,0.0,1.0,432,1.0,2.24609,0.0,0.97463,69.0,GAL,9.0,2019-06-08 01:01,2019-05-26 18:00
0.0,11.0,41.0,54.0,Sivasspor,0.0,-5.0,49.0,13.0,1.66347,1.59836,10.0,13.0,10.0,0.0,47.22142,74211,0.0,0.0,3691,0.0,1.65013,0.0,1.58502,41.0,SIV,11.0,2019-06-08 01:01,2019-05-26 18:00
0.0,14.0,41.0,50.0,Caykur Rizespor,0.0,-2.0,48.0,11.0,1.62804,1.32145,9.0,11.0,9.0,0.0,52.42786,74209,0.0,0.0,7656,0.0,1.6147,0.0,1.3081,41.0,CAY,14.0,2019-06-08 01:01,2019-05-26 18:00
0.0,9.0,63.0,46.0,Trabzonspor,0.0,18.0,64.0,7.0,2.05321,1.26072,18.0,7.0,18.0,0.0,62.48877,74203,0.0,0.0,997,0.0,2.03986,0.0,1.24737,63.0,TRA,9.0,2019-06-08 01:01,2019-05-26 18:00
0.0,11.0,41.0,50.0,Kayserispor,0.0,-15.0,35.0,13.0,1.23673,1.50425,10.0,13.0,10.0,0.0,39.34542,74207,0.0,0.0,3643,0.0,1.22339,0.0,1.49091,41.0,KAY,11.0,2019-06-08 01:01,2019-05-26 18:00
0.0,8.0,47.0,46.0,Yeni Malatyaspor,0.0,1.0,47.0,13.0,1.39486,1.43428,13.0,13.0,13.0,0.0,44.60266,111054,0.0,0.0,18790,0.0,1.38151,0.0,1.42093,47.0,MAL,8.0,2019-06-08 01:01,2019-05-26 18:00
0.0,16.0,37.0,37.0,Bursaspor,1.0,-9.0,28.0,11.0,0.90468,1.03078,7.0,11.0,7.0,0.0,41.03836,74213,0.0,0.0,810,0.0,0.8913399999999999,0.0,1.01744,37.0,BUR,16.0,2019-06-08 01:01,2019-05-26 18:00
0.0,17.0,44.0,38.0,Konyaspor,0.0,2.0,40.0,8.0,1.18147,0.98795,9.0,8.0,9.0,0.0,49.66944,74210,0.0,0.0,7648,0.0,1.16813,0.0,0.9746,44.0,KNY,17.0,2019-06-08 01:01,2019-05-26 18:00
0.0,6.0,45.0,55.0,Antalyaspor,0.0,-16.0,39.0,15.0,1.256,1.5933,13.0,15.0,13.0,0.0,38.01931,84911,0.0,0.0,3794,0.0,1.24266,0.0,1.57996,45.0,ANT,6.0,2019-06-08 01:01,2019-05-26 18:00
0.0,8.0,44.0,43.0,Alanyaspor,0.0,-6.0,37.0,14.0,1.34526,1.29863,12.0,14.0,12.0,0.0,46.40105,110272,0.0,0.0,9078,0.0,1.33192,0.0,1.28528,44.0,ALA,8.0,2019-06-08 01:01,2019-05-26 18:00
0.0,5.0,38.0,42.0,Goztepe,0.0,-5.0,37.0,18.0,1.28131,1.19303,11.0,18.0,11.0,0.0,47.2514,111055,0.0,0.0,789,0.0,1.26797,0.0,1.1796799999999998,38.0,GOZ,5.0,2019-06-08 01:01,2019-05-26 18:00
0.0,7.0,40.0,53.0,Ankaragucu,0.0,-15.0,38.0,16.0,1.25511,1.44804,11.0,16.0,11.0,0.0,40.9575,74201,0.0,0.0,2429,0.0,1.24177,0.0,1.4347,40.0,ANK,7.0,2019-06-08 01:01,2019-05-26 18:00
0.0,10.0,67.0,22.0,Istanbul Basaksehir,0.0,27.0,49.0,5.0,1.51986,0.77369,19.0,5.0,19.0,0.0,63.36121,74215,0.0,0.0,7914,1.0,1.50651,0.0,0.76034,67.0,IBB,10.0,2019-06-08 01:01,2019-05-26 18:00
0.0,11.0,35.0,43.0,Erzurumspor,1.0,-7.0,36.0,15.0,1.20724,1.22204,8.0,15.0,8.0,0.0,44.72135,111694,0.0,0.0,19267,0.0,1.1939,0.0,1.20869,35.0,ERZ,11.0,2019-06-08 01:01,2019-05-26 18:00
0.0,8.0,65.0,47.0,Besiktas,0.0,25.0,72.0,7.0,2.3508400000000003,1.27681,19.0,7.0,19.0,0.0,67.42603000000001,74202,0.0,0.0,1895,0.0,2.3375,0.0,1.26347,65.0,BES,8.0,2019-06-08 01:01,2019-05-26 18:00
0.0,9.0,27.0,54.0,Akhisar Belediye,1.0,-20.0,34.0,19.0,1.09258,1.40095,6.0,19.0,6.0,0.0,37.88864,105185,0.0,0.0,18330,0.0,1.07924,0.0,1.38761,27.0,AKB,9.0,2019-06-08 01:01,2019-05-26 18:00
0.0,6.0,39.0,62.0,Kasimpasa,0.0,-9.0,53.0,17.0,1.5295,1.71809,11.0,17.0,11.0,0.0,41.84838,74216,0.0,0.0,6870,0.0,1.51616,0.0,1.70475,39.0,KAS,6.0,2019-06-08 01:01,2019-05-26 18:00
0.0,13.0,46.0,44.0,Fenerbahce,0.0,0.0,44.0,10.0,1.6320700000000001,1.10544,11.0,10.0,11.0,0.0,57.5222,74204,0.0,0.0,436,0.0,1.61873,0.0,1.0921,46.0,FEN,13.0,2019-06-07 01:01,2019-05-26 18:00
0.0,9.0,69.0,36.0,Galatasaray,0.0,36.0,72.0,5.0,2.25944,0.9879700000000001,20.0,5.0,20.0,1.0,72.07092,74205,0.0,1.0,432,1.0,2.24609,0.0,0.9746299999999999,69.0,GAL,9.0,2019-06-07 01:01,2019-05-26 18:00
0.0,11.0,41.0,54.0,Sivasspor,0.0,-5.0,49.0,13.0,1.66347,1.59836,10.0,13.0,10.0,0.0,47.22142,74211,0.0,0.0,3691,0.0,1.6501299999999999,0.0,1.58502,41.0,SIV,11.0,2019-06-07 01:01,2019-05-26 18:00
0.0,14.0,41.0,50.0,Caykur Rizespor,0.0,-2.0,48.0,11.0,1.62804,1.32145,9.0,11.0,9.0,0.0,52.427859999999995,74209,0.0,0.0,7656,0.0,1.6147,0.0,1.3081,41.0,CAY,14.0,2019-06-07 01:01,2019-05-26 18:00
0.0,9.0,63.0,46.0,Trabzonspor,0.0,18.0,64.0,7.0,2.05321,1.26072,18.0,7.0,18.0,0.0,62.488769999999995,74203,0.0,0.0,997,0.0,2.03986,0.0,1.24737,63.0,TRA,9.0,2019-06-07 01:01,2019-05-26 18:00
0.0,11.0,41.0,50.0,Kayserispor,0.0,-15.0,35.0,13.0,1.2367299999999999,1.50425,10.0,13.0,10.0,0.0,39.345420000000004,74207,0.0,0.0,3643,0.0,1.22339,0.0,1.49091,41.0,KAY,11.0,2019-06-07 01:01,2019-05-26 18:00
0.0,8.0,47.0,46.0,Yeni Malatyaspor,0.0,1.0,47.0,13.0,1.39486,1.43428,13.0,13.0,13.0,0.0,44.60266,111054,0.0,0.0,18790,0.0,1.38151,0.0,1.42093,47.0,MAL,8.0,2019-06-07 01:01,2019-05-26 18:00
0.0,16.0,37.0,37.0,Bursaspor,1.0,-9.0,28.0,11.0,0.9046799999999999,1.03078,7.0,11.0,7.0,0.0,41.03836,74213,0.0,0.0,810,0.0,0.8913399999999999,0.0,1.01744,37.0,BUR,16.0,2019-06-07 01:01,2019-05-26 18:00
