promoted,ties,points,goals_against,name,relegated,goal_diff,goals_scored,losses,o_rating,global_d,current_wins,current_losses,wins,win_league,global_rating,sdr_id,make_europa,position_1,id,make_champs,global_o,make_playoffs,d_rating,current_points,code,current_ties,current_time,last_updated
0.0,9.0,38.5,50.0,Antwerp,0.0,1.0,51.0,13.0,1.3323399999999999,1.2518,18.0,13.0,18.0,0.0,46.8778,78831,0.0,0.0,17544,0.0,1.30785,0.0,1.2273100000000001,38.5,ANT,9.0,2019-06-08 01:00,2019-05-19 18:01
0.0,9.0,50.0,43.0,Club Brugge,0.0,40.0,83.0,8.0,2.1188599999999997,0.9849600000000001,23.0,8.0,23.0,0.0,69.62,72883,0.0,0.0,570,1.0,2.09437,0.0,0.9604600000000001,50.0,CBKV,9.0,2019-06-08 01:00,2019-05-19 18:01
0.0,6.0,35.0,60.0,KAA Gent,0.0,3.0,63.0,16.0,1.561,1.2077,18.0,16.0,18.0,0.0,53.282619999999994,72886,0.0,0.0,3611,0.0,1.5365,0.0,1.1832,35.0,GENT,6.0,2019-06-08 01:00,2019-05-19 18:01
0.0,9.0,31.5,53.0,Anderlecht,0.0,4.0,57.0,15.0,1.39866,1.1293,16.0,15.0,16.0,0.0,51.35114,72889,0.0,0.0,441,0.0,1.37416,0.0,1.1048,31.5,RSCA,9.0,2019-06-08 01:00,2019-05-19 18:01
0.0,11.0,51.5,39.0,Genk,0.0,43.0,82.0,5.0,2.00747,0.91032,24.0,5.0,24.0,1.0,69.37948,72884,0.0,1.0,938,1.0,1.9829700000000001,0.0,0.8858299999999999,51.5,GENK,11.0,2019-06-08 01:00,2019-05-19 18:01
0.0,9.0,39.5,51.0,Standard Liege,0.0,15.0,66.0,12.0,1.71379,1.28125,19.0,12.0,19.0,0.0,54.96292,72892,0.0,0.0,559,0.0,1.6893,0.0,1.25675,39.5,STL,9.0,2019-06-07 01:00,2019-05-19 18:01
0.0,9.0,38.5,50.0,Antwerp,0.0,1.0,51.0,13.0,1.33234,1.2518,18.0,13.0,18.0,0.0,46.8778,78831,0.0,0.0,17544,0.0,1.30785,0.0,1.22731,38.5,ANT,9.0,2019-06-07 01:00,2019-05-19 18:01
0.0,9.0,50.0,43.0,Club Brugge,0.0,40.0,83.0,8.0,2.11886,0.98496,23.0,8.0,23.0,0.0,69.62,72883,0.0,0.0,570,1.0,2.09437,0.0,0.96046,50.0,CBKV,9.0,2019-06-07 01:00,2019-05-19 18:01
0.0,6.0,35.0,60.0,KAA Gent,0.0,3.0,63.0,16.0,1.561,1.2077,18.0,16.0,18.0,0.0,53.28262,72886,0.0,0.0,3611,0.0,1.5365,0.0,1.1832,35.0,GENT,6.0,2019-06-07 01:00,2019-05-19 18:01
0.0,9.0,31.5,53.0,Anderlecht,0.0,4.0,57.0,15.0,1.39866,1.1293,16.0,15.0,16.0,0.0,51.35114,72889,0.0,0.0,441,0.0,1.37416,0.0,1.1048,31.5,RSCA,9.0,2019-06-07 01:00,2019-05-19 18:01
0.0,11.0,51.5,39.0,Genk,0.0,43.0,82.0,5.0,2.00747,0.91032,24.0,5.0,24.0,1.0,69.37948,72884,0.0,1.0,938,1.0,1.98297,0.0,0.8858299999999999,51.5,GENK,11.0,2019-06-07 01:00,2019-05-19 18:01
0.0,9.0,39.5,51.0,Standard Liege,0.0,15.0,66.0,12.0,1.7137900000000001,1.28125,19.0,12.0,19.0,0.0,54.96292,72892,0.0,0.0,559,0.0,1.6893,0.0,1.25675,39.5,STL,9.0,2019-06-07 01:00,2019-05-19 18:01
0.0,9.0,38.5,50.0,Antwerp,0.0,1.0,51.0,13.0,1.3323399999999999,1.2518,18.0,13.0,18.0,0.0,46.8778,78831,0.0,0.0,17544,0.0,1.30785,0.0,1.2273100000000001,38.5,ANT,9.0,2019-06-07 01:00,2019-05-19 18:01
0.0,9.0,50.0,43.0,Club Brugge,0.0,40.0,83.0,8.0,2.1188599999999997,0.9849600000000001,23.0,8.0,23.0,0.0,69.62,72883,0.0,0.0,570,1.0,2.09437,0.0,0.9604600000000001,50.0,CBKV,9.0,2019-06-07 01:00,2019-05-19 18:01
0.0,6.0,35.0,60.0,KAA Gent,0.0,3.0,63.0,16.0,1.561,1.2077,18.0,16.0,18.0,0.0,53.282619999999994,72886,0.0,0.0,3611,0.0,1.5365,0.0,1.1832,35.0,GENT,6.0,2019-06-07 01:00,2019-05-19 18:01
0.0,9.0,31.5,53.0,Anderlecht,0.0,4.0,57.0,15.0,1.39866,1.1293,16.0,15.0,16.0,0.0,51.35114,72889,0.0,0.0,441,0.0,1.37416,0.0,1.1048,31.5,RSCA,9.0,2019-06-07 01:00,2019-05-19 18:01
0.0,11.0,51.5,39.0,Genk,0.0,43.0,82.0,5.0,2.00747,0.91032,24.0,5.0,24.0,1.0,69.37948,72884,0.0,1.0,938,1.0,1.9829700000000001,0.0,0.8858299999999999,51.5,GENK,11.0,2019-06-07 01:00,2019-05-19 18:01
0.0,9.0,39.5,51.0,Standard Liege,0.0,15.0,66.0,12.0,1.71379,1.28125,19.0,12.0,19.0,0.0,54.96292,72892,0.0,0.0,559,0.0,1.6893,0.0,1.25675,39.5,STL,9.0,2019-06-06 01:00,2019-05-19 18:01
0.0,9.0,38.5,50.0,Antwerp,0.0,1.0,51.0,13.0,1.33234,1.2518,18.0,13.0,18.0,0.0,46.8778,78831,0.0,0.0,17544,0.0,1.30785,0.0,1.22731,38.5,ANT,9.0,2019-06-06 01:00,2019-05-19 18:01
0.0,9.0,50.0,43.0,Club Brugge,0.0,40.0,83.0,8.0,2.11886,0.98496,23.0,8.0,23.0,0.0,69.62,72883,0.0,0.0,570,1.0,2.09437,0.0,0.96046,50.0,CBKV,9.0,2019-06-06 01:00,2019-05-19 18:01
0.0,6.0,35.0,60.0,KAA Gent,0.0,3.0,63.0,16.0,1.561,1.2077,18.0,16.0,18.0,0.0,53.28262,72886,0.0,0.0,3611,0.0,1.5365,0.0,1.1832,35.0,GENT,6.0,2019-06-06 01:00,2019-05-19 18:01
0.0,9.0,31.5,53.0,Anderlecht,0.0,4.0,57.0,15.0,1.39866,1.1293,16.0,15.0,16.0,0.0,51.35114,72889,0.0,0.0,441,0.0,1.37416,0.0,1.1048,31.5,RSCA,9.0,2019-06-06 01:00,2019-05-19 18:01
0.0,11.0,51.5,39.0,Genk,0.0,43.0,82.0,5.0,2.00747,0.91032,24.0,5.0,24.0,1.0,69.37948,72884,0.0,1.0,938,1.0,1.98297,0.0,0.8858299999999999,51.5,GENK,11.0,2019-06-06 01:00,2019-05-19 18:01
0.0,9.0,39.5,51.0,Standard Liege,0.0,15.0,66.0,12.0,1.7137900000000001,1.28125,19.0,12.0,19.0,0.0,54.96292,72892,0.0,0.0,559,0.0,1.6893,0.0,1.25675,39.5,STL,9.0,2019-06-06 01:00,2019-05-19 18:01
0.0,9.0,38.5,50.0,Antwerp,0.0,1.0,51.0,13.0,1.3323399999999999,1.2518,18.0,13.0,18.0,0.0,46.8778,78831,0.0,0.0,17544,0.0,1.30785,0.0,1.2273100000000001,38.5,ANT,9.0,2019-06-06 01:00,2019-05-19 18:01
0.0,9.0,50.0,43.0,Club Brugge,0.0,40.0,83.0,8.0,2.1188599999999997,0.9849600000000001,23.0,8.0,23.0,0.0,69.62,72883,0.0,0.0,570,1.0,2.09437,0.0,0.9604600000000001,50.0,CBKV,9.0,2019-06-06 01:00,2019-05-19 18:01
0.0,6.0,35.0,60.0,KAA Gent,0.0,3.0,63.0,16.0,1.561,1.2077,18.0,16.0,18.0,0.0,53.282619999999994,72886,0.0,0.0,3611,0.0,1.5365,0.0,1.1832,35.0,GENT,6.0,2019-06-06 01:00,2019-05-19 18:01
0.0,9.0,31.5,53.0,Anderlecht,0.0,4.0,57.0,15.0,1.39866,1.1293,16.0,15.0,16.0,0.0,51.35114,72889,0.0,0.0,441,0.0,1.37416,0.0,1.1048,31.5,RSCA,9.0,2019-06-06 01:00,2019-05-19 18:01
0.0,11.0,51.5,39.0,Genk,0.0,43.0,82.0,5.0,2.00747,0.91032,24.0,5.0,24.0,1.0,69.37948,72884,0.0,1.0,938,1.0,1.9829700000000001,0.0,0.8858299999999999,51.5,GENK,11.0,2019-06-06 01:00,2019-05-19 18:01
0.0,9.0,39.5,51.0,Standard Liege,0.0,15.0,66.0,12.0,1.71379,1.28125,19.0,12.0,19.0,0.0,54.96292,72892,0.0,0.0,559,0.0,1.6893,0.0,1.25675,39.5,STL,9.0,2019-06-05 01:00,2019-05-19 18:01
0.0,9.0,38.5,50.0,Antwerp,0.0,1.0,51.0,13.0,1.33234,1.2518,18.0,13.0,18.0,0.0,46.8778,78831,0.0,0.0,17544,0.0,1.30785,0.0,1.22731,38.5,ANT,9.0,2019-06-05 01:00,2019-05-19 18:01
0.0,9.0,50.0,43.0,Club Brugge,0.0,40.0,83.0,8.0,2.11886,0.98496,23.0,8.0,23.0,0.0,69.62,72883,0.0,0.0,570,1.0,2.09437,0.0,0.96046,50.0,CBKV,9.0,2019-06-05 01:00,2019-05-19 18:01
0.0,6.0,35.0,60.0,KAA Gent,0.0,3.0,63.0,16.0,1.561,1.2077,18.0,16.0,18.0,0.0,53.28262,72886,0.0,0.0,3611,0.0,1.5365,0.0,1.1832,35.0,GENT,6.0,2019-06-05 01:00,2019-05-19 18:01
0.0,9.0,31.5,53.0,Anderlecht,0.0,4.0,57.0,15.0,1.39866,1.1293,16.0,15.0,16.0,0.0,51.35114,72889,0.0,0.0,441,0.0,1.37416,0.0,1.1048,31.5,RSCA,9.0,2019-06-05 01:00,2019-05-19 18:01
0.0,11.0,51.5,39.0,Genk,0.0,43.0,82.0,5.0,2.00747,0.91032,24.0,5.0,24.0,1.0,69.37948,72884,0.0,1.0,938,1.0,1.98297,0.0,0.8858299999999999,51.5,GENK,11.0,2019-06-05 01:00,2019-05-19 18:01
0.0,9.0,39.5,51.0,Standard Liege,0.0,15.0,66.0,12.0,1.7137900000000001,1.28125,19.0,12.0,19.0,0.0,54.96292,72892,0.0,0.0,559,0.0,1.6893,0.0,1.25675,39.5,STL,9.0,2019-06-04 01:00,2019-05-19 18:01
0.0,9.0,38.5,50.0,Antwerp,0.0,1.0,51.0,13.0,1.3323399999999999,1.2518,18.0,13.0,18.0,0.0,46.8778,78831,0.0,0.0,17544,0.0,1.30785,0.0,1.2273100000000001,38.5,ANT,9.0,2019-06-04 01:00,2019-05-19 18:01
0.0,9.0,50.0,43.0,Club Brugge,0.0,40.0,83.0,8.0,2.1188599999999997,0.9849600000000001,23.0,8.0,23.0,0.0,69.62,72883,0.0,0.0,570,1.0,2.09437,0.0,0.9604600000000001,50.0,CBKV,9.0,2019-06-04 01:00,2019-05-19 18:01
0.0,6.0,35.0,60.0,KAA Gent,0.0,3.0,63.0,16.0,1.561,1.2077,18.0,16.0,18.0,0.0,53.282619999999994,72886,0.0,0.0,3611,0.0,1.5365,0.0,1.1832,35.0,GENT,6.0,2019-06-04 01:00,2019-05-19 18:01
0.0,9.0,31.5,53.0,Anderlecht,0.0,4.0,57.0,15.0,1.39866,1.1293,16.0,15.0,16.0,0.0,51.35114,72889,0.0,0.0,441,0.0,1.37416,0.0,1.1048,31.5,RSCA,9.0,2019-06-04 01:00,2019-05-19 18:01
0.0,11.0,51.5,39.0,Genk,0.0,43.0,82.0,5.0,2.00747,0.91032,24.0,5.0,24.0,1.0,69.37948,72884,0.0,1.0,938,1.0,1.9829700000000001,0.0,0.8858299999999999,51.5,GENK,11.0,2019-06-04 01:00,2019-05-19 18:01
0.0,9.0,39.5,51.0,Standard Liege,0.0,15.0,66.0,12.0,1.71379,1.28125,19.0,12.0,19.0,0.0,54.96292,72892,0.0,0.0,559,0.0,1.6893,0.0,1.25675,39.5,STL,9.0,2019-06-03 01:00,2019-05-19 18:01
0.0,9.0,38.5,50.0,Antwerp,0.0,1.0,51.0,13.0,1.33234,1.2518,18.0,13.0,18.0,0.0,46.8778,78831,0.0,0.0,17544,0.0,1.30785,0.0,1.22731,38.5,ANT,9.0,2019-06-03 01:00,2019-05-19 18:01
0.0,9.0,50.0,43.0,Club Brugge,0.0,40.0,83.0,8.0,2.11886,0.98496,23.0,8.0,23.0,0.0,69.62,72883,0.0,0.0,570,1.0,2.09437,0.0,0.96046,50.0,CBKV,9.0,2019-06-03 01:00,2019-05-19 18:01
0.0,6.0,35.0,60.0,KAA Gent,0.0,3.0,63.0,16.0,1.561,1.2077,18.0,16.0,18.0,0.0,53.28262,72886,0.0,0.0,3611,0.0,1.5365,0.0,1.1832,35.0,GENT,6.0,2019-06-03 01:00,2019-05-19 18:01
0.0,9.0,31.5,53.0,Anderlecht,0.0,4.0,57.0,15.0,1.39866,1.1293,16.0,15.0,16.0,0.0,51.35114,72889,0.0,0.0,441,0.0,1.37416,0.0,1.1048,31.5,RSCA,9.0,2019-06-03 01:00,2019-05-19 18:01
0.0,11.0,51.5,39.0,Genk,0.0,43.0,82.0,5.0,2.00747,0.91032,24.0,5.0,24.0,1.0,69.37948,72884,0.0,1.0,938,1.0,1.98297,0.0,0.8858299999999999,51.5,GENK,11.0,2019-06-03 01:00,2019-05-19 18:01
0.0,9.0,39.5,51.0,Standard Liege,0.0,15.0,66.0,12.0,1.7137900000000001,1.28125,19.0,12.0,19.0,0.0,54.96292,72892,0.0,0.0,559,0.0,1.6893,0.0,1.25675,39.5,STL,9.0,2019-06-03 01:00,2019-05-19 18:01
0.0,9.0,38.5,50.0,Antwerp,0.0,1.0,51.0,13.0,1.3323399999999999,1.2518,18.0,13.0,18.0,0.0,46.8778,78831,0.0,0.0,17544,0.0,1.30785,0.0,1.2273100000000001,38.5,ANT,9.0,2019-06-03 01:00,2019-05-19 18:01
0.0,9.0,50.0,43.0,Club Brugge,0.0,40.0,83.0,8.0,2.1188599999999997,0.9849600000000001,23.0,8.0,23.0,0.0,69.62,72883,0.0,0.0,570,1.0,2.09437,0.0,0.9604600000000001,50.0,CBKV,9.0,2019-06-03 01:00,2019-05-19 18:01
0.0,6.0,35.0,60.0,KAA Gent,0.0,3.0,63.0,16.0,1.561,1.2077,18.0,16.0,18.0,0.0,53.282619999999994,72886,0.0,0.0,3611,0.0,1.5365,0.0,1.1832,35.0,GENT,6.0,2019-06-03 01:00,2019-05-19 18:01
0.0,9.0,31.5,53.0,Anderlecht,0.0,4.0,57.0,15.0,1.39866,1.1293,16.0,15.0,16.0,0.0,51.35114,72889,0.0,0.0,441,0.0,1.37416,0.0,1.1048,31.5,RSCA,9.0,2019-06-03 01:00,2019-05-19 18:01
0.0,11.0,51.5,39.0,Genk,0.0,43.0,82.0,5.0,2.00747,0.91032,24.0,5.0,24.0,1.0,69.37948,72884,0.0,1.0,938,1.0,1.9829700000000001,0.0,0.8858299999999999,51.5,GENK,11.0,2019-06-03 01:00,2019-05-19 18:01
0.0,9.0,39.5,51.0,Standard Liege,0.0,15.0,66.0,12.0,1.71379,1.28125,19.0,12.0,19.0,0.0,54.96292,72892,0.0,0.0,559,0.0,1.6893,0.0,1.25675,39.5,STL,9.0,2019-06-02 01:00,2019-05-19 18:01
0.0,9.0,38.5,50.0,Antwerp,0.0,1.0,51.0,13.0,1.33234,1.2518,18.0,13.0,18.0,0.0,46.8778,78831,0.0,0.0,17544,0.0,1.30785,0.0,1.22731,38.5,ANT,9.0,2019-06-02 01:00,2019-05-19 18:01
0.0,9.0,50.0,43.0,Club Brugge,0.0,40.0,83.0,8.0,2.11886,0.98496,23.0,8.0,23.0,0.0,69.62,72883,0.0,0.0,570,1.0,2.09437,0.0,0.96046,50.0,CBKV,9.0,2019-06-02 01:00,2019-05-19 18:01
0.0,6.0,35.0,60.0,KAA Gent,0.0,3.0,63.0,16.0,1.561,1.2077,18.0,16.0,18.0,0.0,53.28262,72886,0.0,0.0,3611,0.0,1.5365,0.0,1.1832,35.0,GENT,6.0,2019-06-02 01:00,2019-05-19 18:01
0.0,9.0,31.5,53.0,Anderlecht,0.0,4.0,57.0,15.0,1.39866,1.1293,16.0,15.0,16.0,0.0,51.35114,72889,0.0,0.0,441,0.0,1.37416,0.0,1.1048,31.5,RSCA,9.0,2019-06-02 01:00,2019-05-19 18:01
0.0,11.0,51.5,39.0,Genk,0.0,43.0,82.0,5.0,2.00747,0.91032,24.0,5.0,24.0,1.0,69.37948,72884,0.0,1.0,938,1.0,1.98297,0.0,0.8858299999999999,51.5,GENK,11.0,2019-06-02 01:00,2019-05-19 18:01
0.0,9.0,39.5,51.0,Standard Liege,0.0,15.0,66.0,12.0,1.7137900000000001,1.28125,19.0,12.0,19.0,0.0,54.96292,72892,0.0,0.0,559,0.0,1.6893,0.0,1.25675,39.5,STL,9.0,2019-06-02 01:00,2019-05-19 18:01
0.0,9.0,38.5,50.0,Antwerp,0.0,1.0,51.0,13.0,1.3323399999999999,1.2518,18.0,13.0,18.0,0.0,46.8778,78831,0.0,0.0,17544,0.0,1.30785,0.0,1.2273100000000001,38.5,ANT,9.0,2019-06-02 01:00,2019-05-19 18:01
0.0,9.0,50.0,43.0,Club Brugge,0.0,40.0,83.0,8.0,2.1188599999999997,0.9849600000000001,23.0,8.0,23.0,0.0,69.62,72883,0.0,0.0,570,1.0,2.09437,0.0,0.9604600000000001,50.0,CBKV,9.0,2019-06-02 01:00,2019-05-19 18:01
0.0,6.0,35.0,60.0,KAA Gent,0.0,3.0,63.0,16.0,1.561,1.2077,18.0,16.0,18.0,0.0,53.282619999999994,72886,0.0,0.0,3611,0.0,1.5365,0.0,1.1832,35.0,GENT,6.0,2019-06-02 01:00,2019-05-19 18:01
0.0,9.0,31.5,53.0,Anderlecht,0.0,4.0,57.0,15.0,1.39866,1.1293,16.0,15.0,16.0,0.0,51.35114,72889,0.0,0.0,441,0.0,1.37416,0.0,1.1048,31.5,RSCA,9.0,2019-06-02 01:00,2019-05-19 18:01
0.0,11.0,51.5,39.0,Genk,0.0,43.0,82.0,5.0,2.00747,0.91032,24.0,5.0,24.0,1.0,69.37948,72884,0.0,1.0,938,1.0,1.9829700000000001,0.0,0.8858299999999999,51.5,GENK,11.0,2019-06-02 01:00,2019-05-19 18:01
0.0,9.0,39.5,51.0,Standard Liege,0.0,15.0,66.0,12.0,1.71379,1.28125,19.0,12.0,19.0,0.0,54.96292,72892,0.0,0.0,559,0.0,1.6893,0.0,1.25675,39.5,STL,9.0,2019-06-01 01:00,2019-05-19 18:01
0.0,9.0,38.5,50.0,Antwerp,0.0,1.0,51.0,13.0,1.33234,1.2518,18.0,13.0,18.0,0.0,46.8778,78831,0.0,0.0,17544,0.0,1.30785,0.0,1.22731,38.5,ANT,9.0,2019-06-01 01:00,2019-05-19 18:01
0.0,9.0,50.0,43.0,Club Brugge,0.0,40.0,83.0,8.0,2.11886,0.98496,23.0,8.0,23.0,0.0,69.62,72883,0.0,0.0,570,1.0,2.09437,0.0,0.96046,50.0,CBKV,9.0,2019-06-01 01:00,2019-05-19 18:01
0.0,6.0,35.0,60.0,KAA Gent,0.0,3.0,63.0,16.0,1.561,1.2077,18.0,16.0,18.0,0.0,53.28262,72886,0.0,0.0,3611,0.0,1.5365,0.0,1.1832,35.0,GENT,6.0,2019-06-01 01:00,2019-05-19 18:01
0.0,9.0,31.5,53.0,Anderlecht,0.0,4.0,57.0,15.0,1.39866,1.1293,16.0,15.0,16.0,0.0,51.35114,72889,0.0,0.0,441,0.0,1.37416,0.0,1.1048,31.5,RSCA,9.0,2019-06-01 01:00,2019-05-19 18:01
0.0,11.0,51.5,39.0,Genk,0.0,43.0,82.0,5.0,2.00747,0.91032,24.0,5.0,24.0,1.0,69.37948,72884,0.0,1.0,938,1.0,1.98297,0.0,0.8858299999999999,51.5,GENK,11.0,2019-06-01 01:00,2019-05-19 18:01
0.0,9.0,39.5,51.0,Standard Liege,0.0,15.0,66.0,12.0,1.7137900000000001,1.28125,19.0,12.0,19.0,0.0,54.96292,72892,0.0,0.0,559,0.0,1.6893,0.0,1.25675,39.5,STL,9.0,2019-05-31 01:00,2019-05-19 18:01
0.0,9.0,38.5,50.0,Antwerp,0.0,1.0,51.0,13.0,1.3323399999999999,1.2518,18.0,13.0,18.0,0.0,46.8778,78831,0.0,0.0,17544,0.0,1.30785,0.0,1.2273100000000001,38.5,ANT,9.0,2019-05-31 01:00,2019-05-19 18:01
0.0,9.0,50.0,43.0,Club Brugge,0.0,40.0,83.0,8.0,2.1188599999999997,0.9849600000000001,23.0,8.0,23.0,0.0,69.62,72883,0.0,0.0,570,1.0,2.09437,0.0,0.9604600000000001,50.0,CBKV,9.0,2019-05-31 01:00,2019-05-19 18:01
0.0,6.0,35.0,60.0,KAA Gent,0.0,3.0,63.0,16.0,1.561,1.2077,18.0,16.0,18.0,0.0,53.282619999999994,72886,0.0,0.0,3611,0.0,1.5365,0.0,1.1832,35.0,GENT,6.0,2019-05-31 01:00,2019-05-19 18:01
0.0,9.0,31.5,53.0,Anderlecht,0.0,4.0,57.0,15.0,1.39866,1.1293,16.0,15.0,16.0,0.0,51.35114,72889,0.0,0.0,441,0.0,1.37416,0.0,1.1048,31.5,RSCA,9.0,2019-05-31 01:00,2019-05-19 18:01
0.0,11.0,51.5,39.0,Genk,0.0,43.0,82.0,5.0,2.00747,0.91032,24.0,5.0,24.0,1.0,69.37948,72884,0.0,1.0,938,1.0,1.9829700000000001,0.0,0.8858299999999999,51.5,GENK,11.0,2019-05-31 01:00,2019-05-19 18:01
0.0,9.0,39.5,51.0,Standard Liege,0.0,15.0,66.0,12.0,1.71379,1.28125,19.0,12.0,19.0,0.0,54.96292,72892,0.0,0.0,559,0.0,1.6893,0.0,1.25675,39.5,STL,9.0,2019-05-30 01:00,2019-05-19 18:01
0.0,9.0,38.5,50.0,Antwerp,0.0,1.0,51.0,13.0,1.33234,1.2518,18.0,13.0,18.0,0.0,46.8778,78831,0.0,0.0,17544,0.0,1.30785,0.0,1.22731,38.5,ANT,9.0,2019-05-30 01:00,2019-05-19 18:01
0.0,9.0,50.0,43.0,Club Brugge,0.0,40.0,83.0,8.0,2.11886,0.98496,23.0,8.0,23.0,0.0,69.62,72883,0.0,0.0,570,1.0,2.09437,0.0,0.96046,50.0,CBKV,9.0,2019-05-30 01:00,2019-05-19 18:01
