promoted,ties,points,position_1,goals_against,name,relegated,pro_rel_o,goal_diff,goals_scored,losses,code,global_d,current_wins,current_losses,wins,win_league,global_rating,sdr_id,make_europa,o_rating,id,pro_rel_d,make_champs,global_o,make_pro_rel,make_playoffs,d_rating,current_points,current_ties,current_time,last_updated
0.0,10.0,28.0,0.0,65.0,MSV Duisburg,1.0,0.00036,-26.0,39.0,18.0,DUI,2.12895,6.0,18.0,6.0,0.0,24.72102,74038,0.0,1.21626,3308,0.00059,0.0,1.06009,0.0,0.0,1.97277,28.0,10.0,2019-06-11 01:01,2019-05-19 15:28
0.0,7.0,40.0,0.0,47.0,Erzgebirge Aue,0.0,0.0003,-4.0,43.0,16.0,ERZ,1.67144,11.0,16.0,11.0,0.0,26.93954,74059,0.0,1.0027,3849,0.00045,0.0,0.84652,0.0,0.0,1.51526,40.0,7.0,2019-06-10 01:00,2019-05-19 15:28
0.0,10.0,49.0,0.0,51.0,Holstein Kiel,0.0,0.00045999999999999996,9.0,60.0,11.0,HOL,1.70567,13.0,11.0,13.0,0.0,38.95347,74074,0.0,1.53309,7884,0.00045999999999999996,0.0,1.3769200000000001,0.0,0.0,1.54949,49.0,10.0,2019-06-10 01:00,2019-05-19 15:28
1.0,6.0,63.0,1.0,47.0,FC Cologne,0.0,0.00056,37.0,84.0,9.0,COL,1.50531,19.0,9.0,19.0,1.0,50.83928,74049,0.0,1.88317,122,0.0004,0.0,1.7269900000000002,0.0,0.0,1.34914,63.0,6.0,2019-06-10 01:00,2019-05-19 15:28
0.0,9.0,42.0,0.0,48.0,Dynamo Dresden,0.0,0.00033,-7.0,41.0,14.0,DRES,1.60486,11.0,14.0,11.0,0.0,30.34549,79405,0.0,1.09351,7017,0.00043,0.0,0.93734,0.0,0.0,1.44869,42.0,9.0,2019-06-10 01:00,2019-05-19 15:28
0.0,8.0,35.0,0.0,55.0,FC Ingolstadt 04,0.5024,0.00041,-12.0,43.0,17.0,ING,1.5747200000000001,9.0,17.0,9.0,0.0,37.27616,79434,0.0,1.3525399999999999,6367,0.00043,0.0,1.19636,0.0,0.0,1.41854,35.0,8.0,2019-06-10 01:00,2019-05-19 15:28
0.0,11.0,38.0,0.0,52.0,SV Sandhausen,0.0,0.00036,-7.0,45.0,14.0,SVS,1.6399,9.0,14.0,9.0,0.0,32.317240000000005,74085,0.0,1.19938,6392,0.00045,0.0,1.0432,0.0,0.0,1.4837200000000001,38.0,11.0,2019-06-10 01:00,2019-05-19 15:28
0.0,7.0,49.0,0.0,53.0,FC St. Pauli,0.0,0.00033,-7.0,46.0,13.0,STP,1.77867,14.0,13.0,14.0,0.0,27.53278,74068,0.0,1.10086,270,0.00049,0.0,0.9446899999999999,0.0,0.0,1.62249,49.0,7.0,2019-06-10 01:00,2019-05-19 15:28
1.0,9.0,57.0,0.0,50.0,SC Paderborn,0.0,0.00045,26.0,76.0,9.0,PAD,1.73412,16.0,9.0,16.0,0.0,38.02476,74065,0.0,1.51637,3307,0.00047000000000000004,0.0,1.36019,0.0,0.0,1.57794,57.0,9.0,2019-06-10 01:00,2019-05-19 15:28
0.29466,15.0,57.0,0.0,33.0,1. FC Union Berlin,0.0,1.472,21.0,54.0,5.0,FCU,1.3702299999999998,14.0,5.0,14.0,0.0,44.42373,74058,0.0,1.472,598,1.2140600000000001,0.0,1.3158299999999998,1.0,0.0,1.2140600000000001,57.0,15.0,2019-06-10 01:00,2019-05-19 15:28
0.0,13.0,49.0,0.0,54.0,Jahn Regensburg,0.0,0.00047999999999999996,1.0,55.0,9.0,JAHN,1.89155,12.0,9.0,12.0,0.0,37.125009999999996,79423,0.0,1.60754,11017,0.0005200000000000001,0.0,1.45136,0.0,0.0,1.73538,49.0,13.0,2019-06-10 01:00,2019-05-19 15:28
0.0,12.0,42.0,0.0,56.0,SpVgg Greuther Fürth,0.0,0.0003,-19.0,37.0,12.0,FUR,1.69786,10.0,12.0,10.0,0.0,26.10841,74064,0.0,0.98659,3070,0.00045999999999999996,0.0,0.83041,0.0,0.0,1.54168,42.0,12.0,2019-06-10 01:00,2019-05-19 15:28
0.0,8.0,56.0,0.0,42.0,Hamburg SV,0.0,0.0004,3.0,45.0,10.0,HSV,1.33938,16.0,10.0,16.0,0.0,41.62791,78530,0.0,1.3312899999999999,127,0.00035,0.0,1.17511,0.0,0.0,1.18321,56.0,8.0,2019-06-10 01:00,2019-05-19 15:28
0.0,11.0,44.0,0.0,50.0,VfL Bochum,0.0,0.00039,-1.0,49.0,12.0,BOC,1.73213,11.0,12.0,11.0,0.0,33.09935,74055,0.0,1.30231,121,0.00047000000000000004,0.0,1.1461299999999999,0.0,0.0,1.57596,44.0,11.0,2019-06-10 01:00,2019-05-19 15:28
0.0,10.0,55.0,0.0,45.0,1. FC Heidenheim 1846,0.0,0.0004,10.0,55.0,9.0,FCH,1.68435,15.0,9.0,15.0,0.0,34.45898,78229,0.0,1.3226799999999999,6418,0.00045999999999999996,0.0,1.1665,0.0,0.0,1.52817,55.0,10.0,2019-06-10 01:00,2019-05-19 15:28
0.0,13.0,31.0,0.0,53.0,1. FC Magdeburg,1.0,0.00032,-18.0,35.0,15.0,MAG,1.54349,6.0,15.0,6.0,0.0,31.006079999999997,84120,0.0,1.07534,10382,0.00042,0.0,0.9191600000000001,0.0,0.0,1.38732,31.0,13.0,2019-06-10 01:00,2019-05-19 15:28
0.0,7.0,46.0,0.0,53.0,SV Darmstadt 98,0.0,0.00033999999999999997,-8.0,45.0,14.0,DRM,1.59314,13.0,14.0,13.0,0.0,31.341140000000003,74070,0.0,1.12495,3812,0.00043,0.0,0.96877,0.0,0.0,1.43696,46.0,7.0,2019-06-10 01:00,2019-05-19 15:28
0.0,10.0,49.0,0.0,50.0,Arminia Bielefeld,0.0,0.00039,2.0,52.0,11.0,DSC,1.5041200000000001,13.0,11.0,13.0,0.0,37.70092,74043,0.0,1.31219,2506,0.0004,0.0,1.15602,0.0,0.0,1.34794,49.0,10.0,2019-06-10 01:00,2019-05-19 15:28
0.0,10.0,28.0,0.0,65.0,MSV Duisburg,1.0,0.00036,-26.0,39.0,18.0,DUI,2.12895,6.0,18.0,6.0,0.0,24.721020000000003,74038,0.0,1.2162600000000001,3308,0.00059,0.0,1.06009,0.0,0.0,1.9727700000000001,28.0,10.0,2019-06-10 01:00,2019-05-19 15:28
0.0,7.0,40.0,0.0,47.0,Erzgebirge Aue,0.0,0.0003,-4.0,43.0,16.0,ERZ,1.67144,11.0,16.0,11.0,0.0,26.93954,74059,0.0,1.0027,3849,0.00045,0.0,0.84652,0.0,0.0,1.51526,40.0,7.0,2019-06-09 01:00,2019-05-19 15:28
0.0,10.0,49.0,0.0,51.0,Holstein Kiel,0.0,0.00046,9.0,60.0,11.0,HOL,1.70567,13.0,11.0,13.0,0.0,38.95347,74074,0.0,1.53309,7884,0.00046,0.0,1.37692,0.0,0.0,1.54949,49.0,10.0,2019-06-09 01:00,2019-05-19 15:28
1.0,6.0,63.0,1.0,47.0,FC Cologne,0.0,0.00056,37.0,84.0,9.0,COL,1.50531,19.0,9.0,19.0,1.0,50.83928,74049,0.0,1.88317,122,0.0004,0.0,1.7269900000000002,0.0,0.0,1.34914,63.0,6.0,2019-06-09 01:00,2019-05-19 15:28
0.0,9.0,42.0,0.0,48.0,Dynamo Dresden,0.0,0.00033,-7.0,41.0,14.0,DRES,1.60486,11.0,14.0,11.0,0.0,30.34549,79405,0.0,1.09351,7017,0.00043,0.0,0.93734,0.0,0.0,1.44869,42.0,9.0,2019-06-09 01:00,2019-05-19 15:28
0.0,8.0,35.0,0.0,55.0,FC Ingolstadt 04,0.5024,0.00041,-12.0,43.0,17.0,ING,1.57472,9.0,17.0,9.0,0.0,37.27616,79434,0.0,1.35254,6367,0.00043,0.0,1.19636,0.0,0.0,1.41854,35.0,8.0,2019-06-09 01:00,2019-05-19 15:28
0.0,11.0,38.0,0.0,52.0,SV Sandhausen,0.0,0.00036,-7.0,45.0,14.0,SVS,1.6399,9.0,14.0,9.0,0.0,32.317240000000005,74085,0.0,1.19938,6392,0.00045,0.0,1.0432,0.0,0.0,1.48372,38.0,11.0,2019-06-09 01:00,2019-05-19 15:28
0.0,7.0,49.0,0.0,53.0,FC St. Pauli,0.0,0.00033,-7.0,46.0,13.0,STP,1.77867,14.0,13.0,14.0,0.0,27.53278,74068,0.0,1.10086,270,0.00049,0.0,0.94469,0.0,0.0,1.62249,49.0,7.0,2019-06-09 01:00,2019-05-19 15:28
1.0,9.0,57.0,0.0,50.0,SC Paderborn,0.0,0.00045,26.0,76.0,9.0,PAD,1.73412,16.0,9.0,16.0,0.0,38.02476,74065,0.0,1.51637,3307,0.00047,0.0,1.36019,0.0,0.0,1.57794,57.0,9.0,2019-06-09 01:00,2019-05-19 15:28
0.29466,15.0,57.0,0.0,33.0,1. FC Union Berlin,0.0,1.472,21.0,54.0,5.0,FCU,1.3702299999999998,14.0,5.0,14.0,0.0,44.42373,74058,0.0,1.472,598,1.21406,0.0,1.3158299999999998,1.0,0.0,1.21406,57.0,15.0,2019-06-09 01:00,2019-05-19 15:28
0.0,13.0,49.0,0.0,54.0,Jahn Regensburg,0.0,0.00048,1.0,55.0,9.0,JAHN,1.89155,12.0,9.0,12.0,0.0,37.12501,79423,0.0,1.60754,11017,0.0005200000000000001,0.0,1.45136,0.0,0.0,1.73538,49.0,13.0,2019-06-09 01:00,2019-05-19 15:28
0.0,12.0,42.0,0.0,56.0,SpVgg Greuther Fürth,0.0,0.0003,-19.0,37.0,12.0,FUR,1.69786,10.0,12.0,10.0,0.0,26.10841,74064,0.0,0.98659,3070,0.00046,0.0,0.83041,0.0,0.0,1.54168,42.0,12.0,2019-06-09 01:00,2019-05-19 15:28
0.0,8.0,56.0,0.0,42.0,Hamburg SV,0.0,0.0004,3.0,45.0,10.0,HSV,1.33938,16.0,10.0,16.0,0.0,41.62791,78530,0.0,1.33129,127,0.00035,0.0,1.17511,0.0,0.0,1.18321,56.0,8.0,2019-06-09 01:00,2019-05-19 15:28
0.0,11.0,44.0,0.0,50.0,VfL Bochum,0.0,0.00039,-1.0,49.0,12.0,BOC,1.73213,11.0,12.0,11.0,0.0,33.09935,74055,0.0,1.30231,121,0.00047,0.0,1.14613,0.0,0.0,1.57596,44.0,11.0,2019-06-09 01:00,2019-05-19 15:28
0.0,10.0,55.0,0.0,45.0,1. FC Heidenheim 1846,0.0,0.0004,10.0,55.0,9.0,FCH,1.68435,15.0,9.0,15.0,0.0,34.45898,78229,0.0,1.32268,6418,0.00046,0.0,1.1665,0.0,0.0,1.52817,55.0,10.0,2019-06-09 01:00,2019-05-19 15:28
0.0,13.0,31.0,0.0,53.0,1. FC Magdeburg,1.0,0.00032,-18.0,35.0,15.0,MAG,1.54349,6.0,15.0,6.0,0.0,31.00608,84120,0.0,1.07534,10382,0.00042,0.0,0.91916,0.0,0.0,1.38732,31.0,13.0,2019-06-09 01:00,2019-05-19 15:28
0.0,7.0,46.0,0.0,53.0,SV Darmstadt 98,0.0,0.00034,-8.0,45.0,14.0,DRM,1.59314,13.0,14.0,13.0,0.0,31.341140000000006,74070,0.0,1.12495,3812,0.00043,0.0,0.96877,0.0,0.0,1.43696,46.0,7.0,2019-06-09 01:00,2019-05-19 15:28
0.0,10.0,49.0,0.0,50.0,Arminia Bielefeld,0.0,0.00039,2.0,52.0,11.0,DSC,1.50412,13.0,11.0,13.0,0.0,37.70092,74043,0.0,1.31219,2506,0.0004,0.0,1.15602,0.0,0.0,1.34794,49.0,10.0,2019-06-09 01:00,2019-05-19 15:28
0.0,10.0,28.0,0.0,65.0,MSV Duisburg,1.0,0.00036,-26.0,39.0,18.0,DUI,2.12895,6.0,18.0,6.0,0.0,24.721020000000006,74038,0.0,1.21626,3308,0.00059,0.0,1.06009,0.0,0.0,1.97277,28.0,10.0,2019-06-09 01:00,2019-05-19 15:28
0.0,7.0,40.0,0.0,47.0,Erzgebirge Aue,0.0,0.0003,-4.0,43.0,16.0,ERZ,1.67144,11.0,16.0,11.0,0.0,26.93954,74059,0.0,1.0027,3849,0.00045,0.0,0.84652,0.0,0.0,1.51526,40.0,7.0,2019-06-08 01:00,2019-05-19 15:28
0.0,10.0,49.0,0.0,51.0,Holstein Kiel,0.0,0.00045999999999999996,9.0,60.0,11.0,HOL,1.70567,13.0,11.0,13.0,0.0,38.95347,74074,0.0,1.53309,7884,0.00045999999999999996,0.0,1.3769200000000001,0.0,0.0,1.54949,49.0,10.0,2019-06-08 01:00,2019-05-19 15:28
1.0,6.0,63.0,1.0,47.0,FC Cologne,0.0,0.00056,37.0,84.0,9.0,COL,1.50531,19.0,9.0,19.0,1.0,50.83928,74049,0.0,1.88317,122,0.0004,0.0,1.7269900000000002,0.0,0.0,1.34914,63.0,6.0,2019-06-08 01:00,2019-05-19 15:28
0.0,9.0,42.0,0.0,48.0,Dynamo Dresden,0.0,0.00033,-7.0,41.0,14.0,DRES,1.60486,11.0,14.0,11.0,0.0,30.34549,79405,0.0,1.09351,7017,0.00043,0.0,0.93734,0.0,0.0,1.44869,42.0,9.0,2019-06-08 01:00,2019-05-19 15:28
0.0,8.0,35.0,0.0,55.0,FC Ingolstadt 04,0.5024,0.00041,-12.0,43.0,17.0,ING,1.5747200000000001,9.0,17.0,9.0,0.0,37.27616,79434,0.0,1.3525399999999999,6367,0.00043,0.0,1.19636,0.0,0.0,1.41854,35.0,8.0,2019-06-08 01:00,2019-05-19 15:28
0.0,11.0,38.0,0.0,52.0,SV Sandhausen,0.0,0.00036,-7.0,45.0,14.0,SVS,1.6399,9.0,14.0,9.0,0.0,32.317240000000005,74085,0.0,1.19938,6392,0.00045,0.0,1.0432,0.0,0.0,1.4837200000000001,38.0,11.0,2019-06-08 01:00,2019-05-19 15:28
0.0,7.0,49.0,0.0,53.0,FC St. Pauli,0.0,0.00033,-7.0,46.0,13.0,STP,1.77867,14.0,13.0,14.0,0.0,27.53278,74068,0.0,1.10086,270,0.00049,0.0,0.9446899999999999,0.0,0.0,1.62249,49.0,7.0,2019-06-08 01:00,2019-05-19 15:28
1.0,9.0,57.0,0.0,50.0,SC Paderborn,0.0,0.00045,26.0,76.0,9.0,PAD,1.73412,16.0,9.0,16.0,0.0,38.02476,74065,0.0,1.51637,3307,0.00047000000000000004,0.0,1.36019,0.0,0.0,1.57794,57.0,9.0,2019-06-08 01:00,2019-05-19 15:28
0.29466,15.0,57.0,0.0,33.0,1. FC Union Berlin,0.0,1.472,21.0,54.0,5.0,FCU,1.3702299999999998,14.0,5.0,14.0,0.0,44.42373,74058,0.0,1.472,598,1.2140600000000001,0.0,1.3158299999999998,1.0,0.0,1.2140600000000001,57.0,15.0,2019-06-08 01:00,2019-05-19 15:28
0.0,13.0,49.0,0.0,54.0,Jahn Regensburg,0.0,0.00047999999999999996,1.0,55.0,9.0,JAHN,1.89155,12.0,9.0,12.0,0.0,37.125009999999996,79423,0.0,1.60754,11017,0.0005200000000000001,0.0,1.45136,0.0,0.0,1.73538,49.0,13.0,2019-06-08 01:00,2019-05-19 15:28
0.0,12.0,42.0,0.0,56.0,SpVgg Greuther Fürth,0.0,0.0003,-19.0,37.0,12.0,FUR,1.69786,10.0,12.0,10.0,0.0,26.10841,74064,0.0,0.98659,3070,0.00045999999999999996,0.0,0.83041,0.0,0.0,1.54168,42.0,12.0,2019-06-08 01:00,2019-05-19 15:28
0.0,8.0,56.0,0.0,42.0,Hamburg SV,0.0,0.0004,3.0,45.0,10.0,HSV,1.33938,16.0,10.0,16.0,0.0,41.62791,78530,0.0,1.3312899999999999,127,0.00035,0.0,1.17511,0.0,0.0,1.18321,56.0,8.0,2019-06-08 01:00,2019-05-19 15:28
0.0,11.0,44.0,0.0,50.0,VfL Bochum,0.0,0.00039,-1.0,49.0,12.0,BOC,1.73213,11.0,12.0,11.0,0.0,33.09935,74055,0.0,1.30231,121,0.00047000000000000004,0.0,1.1461299999999999,0.0,0.0,1.57596,44.0,11.0,2019-06-08 01:00,2019-05-19 15:28
0.0,10.0,55.0,0.0,45.0,1. FC Heidenheim 1846,0.0,0.0004,10.0,55.0,9.0,FCH,1.68435,15.0,9.0,15.0,0.0,34.45898,78229,0.0,1.3226799999999999,6418,0.00045999999999999996,0.0,1.1665,0.0,0.0,1.52817,55.0,10.0,2019-06-08 01:00,2019-05-19 15:28
0.0,13.0,31.0,0.0,53.0,1. FC Magdeburg,1.0,0.00032,-18.0,35.0,15.0,MAG,1.54349,6.0,15.0,6.0,0.0,31.006079999999997,84120,0.0,1.07534,10382,0.00042,0.0,0.9191600000000001,0.0,0.0,1.38732,31.0,13.0,2019-06-08 01:00,2019-05-19 15:28
0.0,7.0,46.0,0.0,53.0,SV Darmstadt 98,0.0,0.00033999999999999997,-8.0,45.0,14.0,DRM,1.59314,13.0,14.0,13.0,0.0,31.34114000000001,74070,0.0,1.12495,3812,0.00043,0.0,0.96877,0.0,0.0,1.43696,46.0,7.0,2019-06-08 01:00,2019-05-19 15:28
0.0,10.0,49.0,0.0,50.0,Arminia Bielefeld,0.0,0.00039,2.0,52.0,11.0,DSC,1.5041200000000001,13.0,11.0,13.0,0.0,37.70092,74043,0.0,1.31219,2506,0.0004,0.0,1.15602,0.0,0.0,1.34794,49.0,10.0,2019-06-08 01:00,2019-05-19 15:28
0.0,10.0,28.0,0.0,65.0,MSV Duisburg,1.0,0.00036,-26.0,39.0,18.0,DUI,2.12895,6.0,18.0,6.0,0.0,24.72102000000001,74038,0.0,1.2162600000000001,3308,0.00059,0.0,1.06009,0.0,0.0,1.9727700000000001,28.0,10.0,2019-06-08 01:00,2019-05-19 15:28
0.0,7.0,40.0,0.0,47.0,Erzgebirge Aue,0.0,0.0003,-4.0,43.0,16.0,ERZ,1.67144,11.0,16.0,11.0,0.0,26.93954,74059,0.0,1.0027,3849,0.00045,0.0,0.84652,0.0,0.0,1.51526,40.0,7.0,2019-06-08 01:00,2019-05-19 15:28
0.0,10.0,49.0,0.0,51.0,Holstein Kiel,0.0,0.00046,9.0,60.0,11.0,HOL,1.70567,13.0,11.0,13.0,0.0,38.95347,74074,0.0,1.53309,7884,0.00046,0.0,1.37692,0.0,0.0,1.54949,49.0,10.0,2019-06-08 01:00,2019-05-19 15:28
1.0,6.0,63.0,1.0,47.0,FC Cologne,0.0,0.00056,37.0,84.0,9.0,COL,1.50531,19.0,9.0,19.0,1.0,50.83928,74049,0.0,1.88317,122,0.0004,0.0,1.7269900000000002,0.0,0.0,1.34914,63.0,6.0,2019-06-08 01:00,2019-05-19 15:28
0.0,9.0,42.0,0.0,48.0,Dynamo Dresden,0.0,0.00033,-7.0,41.0,14.0,DRES,1.60486,11.0,14.0,11.0,0.0,30.34549,79405,0.0,1.09351,7017,0.00043,0.0,0.93734,0.0,0.0,1.44869,42.0,9.0,2019-06-08 01:00,2019-05-19 15:28
0.0,8.0,35.0,0.0,55.0,FC Ingolstadt 04,0.5024,0.00041,-12.0,43.0,17.0,ING,1.57472,9.0,17.0,9.0,0.0,37.27616,79434,0.0,1.35254,6367,0.00043,0.0,1.19636,0.0,0.0,1.41854,35.0,8.0,2019-06-08 01:00,2019-05-19 15:28
0.0,11.0,38.0,0.0,52.0,SV Sandhausen,0.0,0.00036,-7.0,45.0,14.0,SVS,1.6399,9.0,14.0,9.0,0.0,32.317240000000005,74085,0.0,1.19938,6392,0.00045,0.0,1.0432,0.0,0.0,1.48372,38.0,11.0,2019-06-08 01:00,2019-05-19 15:28
0.0,7.0,49.0,0.0,53.0,FC St. Pauli,0.0,0.00033,-7.0,46.0,13.0,STP,1.77867,14.0,13.0,14.0,0.0,27.53278,74068,0.0,1.10086,270,0.00049,0.0,0.94469,0.0,0.0,1.62249,49.0,7.0,2019-06-08 01:00,2019-05-19 15:28
1.0,9.0,57.0,0.0,50.0,SC Paderborn,0.0,0.00045,26.0,76.0,9.0,PAD,1.73412,16.0,9.0,16.0,0.0,38.02476,74065,0.0,1.51637,3307,0.00047,0.0,1.36019,0.0,0.0,1.57794,57.0,9.0,2019-06-08 01:00,2019-05-19 15:28
0.29466,15.0,57.0,0.0,33.0,1. FC Union Berlin,0.0,1.472,21.0,54.0,5.0,FCU,1.3702299999999998,14.0,5.0,14.0,0.0,44.42373,74058,0.0,1.472,598,1.21406,0.0,1.3158299999999998,1.0,0.0,1.21406,57.0,15.0,2019-06-08 01:00,2019-05-19 15:28
0.0,13.0,49.0,0.0,54.0,Jahn Regensburg,0.0,0.00048,1.0,55.0,9.0,JAHN,1.89155,12.0,9.0,12.0,0.0,37.12501,79423,0.0,1.60754,11017,0.0005200000000000001,0.0,1.45136,0.0,0.0,1.73538,49.0,13.0,2019-06-08 01:00,2019-05-19 15:28
0.0,12.0,42.0,0.0,56.0,SpVgg Greuther Fürth,0.0,0.0003,-19.0,37.0,12.0,FUR,1.69786,10.0,12.0,10.0,0.0,26.10841,74064,0.0,0.98659,3070,0.00046,0.0,0.83041,0.0,0.0,1.54168,42.0,12.0,2019-06-08 01:00,2019-05-19 15:28
0.0,8.0,56.0,0.0,42.0,Hamburg SV,0.0,0.0004,3.0,45.0,10.0,HSV,1.33938,16.0,10.0,16.0,0.0,41.62791,78530,0.0,1.33129,127,0.00035,0.0,1.17511,0.0,0.0,1.18321,56.0,8.0,2019-06-08 01:00,2019-05-19 15:28
0.0,11.0,44.0,0.0,50.0,VfL Bochum,0.0,0.00039,-1.0,49.0,12.0,BOC,1.73213,11.0,12.0,11.0,0.0,33.09935,74055,0.0,1.30231,121,0.00047,0.0,1.14613,0.0,0.0,1.57596,44.0,11.0,2019-06-08 01:00,2019-05-19 15:28
0.0,10.0,55.0,0.0,45.0,1. FC Heidenheim 1846,0.0,0.0004,10.0,55.0,9.0,FCH,1.68435,15.0,9.0,15.0,0.0,34.45898,78229,0.0,1.32268,6418,0.00046,0.0,1.1665,0.0,0.0,1.52817,55.0,10.0,2019-06-08 01:00,2019-05-19 15:28
0.0,13.0,31.0,0.0,53.0,1. FC Magdeburg,1.0,0.00032,-18.0,35.0,15.0,MAG,1.54349,6.0,15.0,6.0,0.0,31.00608,84120,0.0,1.07534,10382,0.00042,0.0,0.91916,0.0,0.0,1.38732,31.0,13.0,2019-06-08 01:00,2019-05-19 15:28
