promoted,ties,points,goals_against,name,relegated,goal_diff,goals_scored,losses,o_rating,global_d,current_wins,current_losses,wins,win_league,global_rating,sdr_id,make_europa,position_1,id,make_champs,global_o,make_playoffs,d_rating,current_points,code,current_ties,current_time,last_updated
0.0,14.0,62.0,60.0,Oldham Athletic,0.0,7.0,67.0,16.0,1.26728,2.23166,16.0,16.0,16.0,0.0,15.01481,73641,0.0,0.0,332,0.0,0.64845,0.0,1.61282,62.0,OLD,14.0,2019-06-11 01:00,2019-05-25 16:39
0.0,12.0,57.0,68.0,Cheltenham Town,0.0,-11.0,57.0,19.0,1.15939,2.35559,15.0,19.0,15.0,0.0,11.82394,73654,0.0,0.0,320,0.0,0.54056,0.0,1.73676,57.0,CHEL,12.0,2019-06-11 01:00,2019-05-25 16:39
0.0,8.0,56.0,56.0,Grimsby Town,0.0,-11.0,45.0,22.0,0.74619,2.07827,16.0,22.0,16.0,0.0,7.75362,73672,0.0,0.0,386,0.0,0.2,0.0,1.45944,56.0,GRI,8.0,2019-06-11 01:00,2019-05-25 16:39
0.0,14.0,41.0,84.0,Notts County,1.0,-36.0,48.0,23.0,0.9198,2.56989,9.0,23.0,9.0,0.0,6.48075,73671,0.0,0.0,340,0.0,0.30097,0.0,1.95106,41.0,NOTT,14.0,2019-06-11 01:00,2019-05-25 16:39
0.0,11.0,47.0,66.0,Cambridge United,0.0,-26.0,40.0,23.0,0.73727,2.12262,12.0,23.0,12.0,0.0,7.46354,78987,0.0,0.0,351,0.0,0.2,0.0,1.50379,47.0,CAM,11.0,2019-06-11 01:00,2019-05-25 16:39
0.0,8.0,53.0,68.0,Crawley Town,0.0,-17.0,51.0,23.0,0.9530799999999999,2.38417,15.0,23.0,15.0,0.0,8.08003,100095,0.0,0.0,2594,0.0,0.33425,0.0,1.7653400000000001,53.0,CRAW,8.0,2019-06-10 01:00,2019-05-25 16:39
0.0,12.0,54.0,70.0,Morecambe,0.0,-16.0,54.0,20.0,1.0852899999999999,2.2610900000000003,14.0,20.0,14.0,0.0,11.29071,73688,0.0,0.0,278,0.0,0.46646000000000004,0.0,1.6422599999999998,54.0,MORE,12.0,2019-06-10 01:00,2019-05-25 16:39
1.0,13.0,73.0,50.0,Tranmere Rovers,0.0,13.0,63.0,13.0,1.01128,1.7804900000000001,20.0,13.0,20.0,0.0,14.426160000000001,73643,0.0,0.0,345,0.0,0.39245,1.0,1.1616600000000001,73.0,TRN,13.0,2019-06-10 01:00,2019-05-25 16:39
0.0,8.0,68.0,62.0,Carlisle United,0.0,5.0,67.0,18.0,1.20214,2.33635,20.0,18.0,20.0,0.0,12.76559,73656,0.0,0.0,322,0.0,0.58331,0.0,1.7175200000000002,68.0,CAR,8.0,2019-06-10 01:00,2019-05-25 16:39
0.0,13.0,70.0,49.0,Exeter City,0.0,11.0,60.0,14.0,1.02739,1.93118,19.0,14.0,19.0,0.0,13.192,84426,0.0,0.0,324,0.0,0.40856,0.0,1.31235,70.0,EXE,13.0,2019-06-10 01:00,2019-05-25 16:39
0.0,10.0,70.0,53.0,Colchester United,0.0,12.0,65.0,16.0,1.06513,2.01231,20.0,16.0,20.0,0.0,13.179479999999998,73634,0.0,0.0,339,0.0,0.4463,0.0,1.3934799999999998,70.0,COL,10.0,2019-06-10 01:00,2019-05-25 16:39
0.0,14.0,74.0,47.0,Forest Green Rovers,0.0,21.0,68.0,12.0,1.1553,1.9201400000000002,20.0,12.0,20.0,0.0,16.10909,78983,0.0,0.0,282,0.0,0.53647,1.0,1.30131,74.0,FGR,14.0,2019-06-10 01:00,2019-05-25 16:39
0.0,8.0,65.0,59.0,Crewe Alexandra,0.0,1.0,60.0,19.0,1.30149,2.2383900000000003,19.0,19.0,19.0,0.0,15.61144,73653,0.0,0.0,396,0.0,0.68266,0.0,1.61956,65.0,CREW,8.0,2019-06-10 01:00,2019-05-25 16:39
0.0,13.0,40.0,66.0,Yeovil Town,1.0,-25.0,41.0,24.0,0.60292,2.48695,9.0,24.0,9.0,0.0,5.45352,73646,0.0,0.0,284,0.0,0.2,0.0,1.85221,40.0,YEO,13.0,2019-06-10 01:00,2019-05-25 16:39
0.0,14.0,44.0,74.0,Macclesfield,0.0,-26.0,48.0,22.0,0.94681,2.3214599999999996,10.0,22.0,10.0,0.0,8.3903,73667,0.0,0.0,316,0.0,0.32798,0.0,1.7026299999999999,44.0,MAC,14.0,2019-06-10 01:00,2019-05-25 16:39
0.0,16.0,64.0,56.0,Swindon Town,0.0,3.0,59.0,14.0,1.16304,2.00867,16.0,14.0,16.0,0.0,15.27784,73663,0.0,0.0,341,0.0,0.5442100000000001,0.0,1.38984,64.0,SWI,16.0,2019-06-10 01:00,2019-05-25 16:39
1.0,13.0,79.0,56.0,Bury,0.0,26.0,82.0,11.0,1.43214,2.1915400000000003,22.0,11.0,22.0,0.0,18.75291,73673,0.0,0.0,354,0.0,0.8133100000000001,0.0,1.5727,79.0,BURY,13.0,2019-06-10 01:00,2019-05-25 16:39
0.0,11.0,71.0,59.0,Newport County,0.0,0.0,59.0,15.0,0.9244100000000001,1.7337099999999999,20.0,15.0,20.0,0.0,12.89175,78306,0.0,0.0,635,0.0,0.30558,1.0,1.11487,71.0,NEW,11.0,2019-06-10 01:00,2019-05-25 16:39
0.0,10.0,70.0,55.0,Stevenage,0.0,4.0,59.0,16.0,1.20452,1.99095,20.0,16.0,20.0,0.0,16.365029999999997,86629,0.0,0.0,285,0.0,0.5856899999999999,0.0,1.37212,70.0,STEV,10.0,2019-06-10 01:00,2019-05-25 16:39
1.0,16.0,85.0,43.0,Lincoln City,0.0,30.0,73.0,7.0,1.10353,1.80702,23.0,7.0,23.0,1.0,16.26669,73665,0.0,1.0,314,0.0,0.4847,0.0,1.1881899999999999,85.0,LCN,16.0,2019-06-10 01:00,2019-05-25 16:39
0.0,16.0,76.0,41.0,Mansfield Town,0.0,28.0,69.0,10.0,1.23587,1.79824,20.0,10.0,20.0,0.0,19.47681,73674,0.0,0.0,304,0.0,0.6170399999999999,1.0,1.17941,76.0,MANS,16.0,2019-06-10 01:00,2019-05-25 16:39
0.0,13.0,49.0,55.0,Port Vale,0.0,-16.0,39.0,21.0,0.6534300000000001,2.05444,12.0,21.0,12.0,0.0,7.91403,73642,0.0,0.0,348,0.0,0.2,0.0,1.43561,49.0,VALE,13.0,2019-06-10 01:00,2019-05-25 16:39
1.0,10.0,79.0,49.0,Milton Keynes Dons,0.0,22.0,71.0,13.0,1.2480200000000001,2.07692,23.0,13.0,23.0,0.0,16.30462,73679,0.0,0.0,390,0.0,0.6291800000000001,0.0,1.4580899999999999,79.0,MKD,10.0,2019-06-10 01:00,2019-05-25 16:39
0.0,19.0,61.0,63.0,Northampton Town,0.0,1.0,64.0,13.0,1.32441,2.35223,14.0,13.0,14.0,0.0,14.8684,73657,0.0,0.0,353,0.0,0.70558,0.0,1.7334,61.0,NOTO,19.0,2019-06-10 01:00,2019-05-25 16:39
0.0,14.0,62.0,60.0,Oldham Athletic,0.0,7.0,67.0,16.0,1.26728,2.2316599999999998,16.0,16.0,16.0,0.0,15.01481,73641,0.0,0.0,332,0.0,0.64845,0.0,1.6128200000000001,62.0,OLD,14.0,2019-06-10 01:00,2019-05-25 16:39
0.0,12.0,57.0,68.0,Cheltenham Town,0.0,-11.0,57.0,19.0,1.15939,2.3555900000000003,15.0,19.0,15.0,0.0,11.823939999999999,73654,0.0,0.0,320,0.0,0.54056,0.0,1.7367599999999999,57.0,CHEL,12.0,2019-06-10 01:00,2019-05-25 16:39
0.0,8.0,56.0,56.0,Grimsby Town,0.0,-11.0,45.0,22.0,0.7461899999999999,2.0782700000000003,16.0,22.0,16.0,0.0,7.75362,73672,0.0,0.0,386,0.0,0.2,0.0,1.45944,56.0,GRI,8.0,2019-06-10 01:00,2019-05-25 16:39
0.0,14.0,41.0,84.0,Notts County,1.0,-36.0,48.0,23.0,0.9198,2.56989,9.0,23.0,9.0,0.0,6.48075,73671,0.0,0.0,340,0.0,0.30096999999999996,0.0,1.9510599999999998,41.0,NOTT,14.0,2019-06-10 01:00,2019-05-25 16:39
0.0,11.0,47.0,66.0,Cambridge United,0.0,-26.0,40.0,23.0,0.73727,2.12262,12.0,23.0,12.0,0.0,7.463539999999999,78987,0.0,0.0,351,0.0,0.2,0.0,1.50379,47.0,CAM,11.0,2019-06-10 01:00,2019-05-25 16:39
0.0,8.0,53.0,68.0,Crawley Town,0.0,-17.0,51.0,23.0,0.95308,2.38417,15.0,23.0,15.0,0.0,8.08003,100095,0.0,0.0,2594,0.0,0.33425,0.0,1.76534,53.0,CRAW,8.0,2019-06-09 01:00,2019-05-25 16:39
0.0,12.0,54.0,70.0,Morecambe,0.0,-16.0,54.0,20.0,1.08529,2.2610900000000003,14.0,20.0,14.0,0.0,11.29071,73688,0.0,0.0,278,0.0,0.46646,0.0,1.6422599999999998,54.0,MORE,12.0,2019-06-09 01:00,2019-05-25 16:39
1.0,13.0,73.0,50.0,Tranmere Rovers,0.0,13.0,63.0,13.0,1.01128,1.78049,20.0,13.0,20.0,0.0,14.42616,73643,0.0,0.0,345,0.0,0.39245,1.0,1.16166,73.0,TRN,13.0,2019-06-09 01:00,2019-05-25 16:39
0.0,8.0,68.0,62.0,Carlisle United,0.0,5.0,67.0,18.0,1.20214,2.33635,20.0,18.0,20.0,0.0,12.76559,73656,0.0,0.0,322,0.0,0.58331,0.0,1.7175200000000002,68.0,CAR,8.0,2019-06-09 01:00,2019-05-25 16:39
0.0,13.0,70.0,49.0,Exeter City,0.0,11.0,60.0,14.0,1.02739,1.93118,19.0,14.0,19.0,0.0,13.192,84426,0.0,0.0,324,0.0,0.40856,0.0,1.31235,70.0,EXE,13.0,2019-06-09 01:00,2019-05-25 16:39
0.0,10.0,70.0,53.0,Colchester United,0.0,12.0,65.0,16.0,1.06513,2.01231,20.0,16.0,20.0,0.0,13.179479999999998,73634,0.0,0.0,339,0.0,0.4463,0.0,1.3934799999999998,70.0,COL,10.0,2019-06-09 01:00,2019-05-25 16:39
0.0,14.0,74.0,47.0,Forest Green Rovers,0.0,21.0,68.0,12.0,1.1553,1.92014,20.0,12.0,20.0,0.0,16.10909,78983,0.0,0.0,282,0.0,0.53647,1.0,1.30131,74.0,FGR,14.0,2019-06-09 01:00,2019-05-25 16:39
0.0,8.0,65.0,59.0,Crewe Alexandra,0.0,1.0,60.0,19.0,1.30149,2.2383900000000003,19.0,19.0,19.0,0.0,15.61144,73653,0.0,0.0,396,0.0,0.68266,0.0,1.61956,65.0,CREW,8.0,2019-06-09 01:00,2019-05-25 16:39
0.0,13.0,40.0,66.0,Yeovil Town,1.0,-25.0,41.0,24.0,0.60292,2.48695,9.0,24.0,9.0,0.0,5.45352,73646,0.0,0.0,284,0.0,0.2,0.0,1.85221,40.0,YEO,13.0,2019-06-09 01:00,2019-05-25 16:39
0.0,14.0,44.0,74.0,Macclesfield,0.0,-26.0,48.0,22.0,0.94681,2.32146,10.0,22.0,10.0,0.0,8.3903,73667,0.0,0.0,316,0.0,0.32798,0.0,1.70263,44.0,MAC,14.0,2019-06-09 01:00,2019-05-25 16:39
0.0,16.0,64.0,56.0,Swindon Town,0.0,3.0,59.0,14.0,1.16304,2.00867,16.0,14.0,16.0,0.0,15.27784,73663,0.0,0.0,341,0.0,0.5442100000000001,0.0,1.38984,64.0,SWI,16.0,2019-06-09 01:00,2019-05-25 16:39
1.0,13.0,79.0,56.0,Bury,0.0,26.0,82.0,11.0,1.43214,2.1915400000000003,22.0,11.0,22.0,0.0,18.75291,73673,0.0,0.0,354,0.0,0.8133100000000001,0.0,1.5727,79.0,BURY,13.0,2019-06-09 01:00,2019-05-25 16:39
0.0,11.0,71.0,59.0,Newport County,0.0,0.0,59.0,15.0,0.92441,1.73371,20.0,15.0,20.0,0.0,12.89175,78306,0.0,0.0,635,0.0,0.30558,1.0,1.11487,71.0,NEW,11.0,2019-06-09 01:00,2019-05-25 16:39
0.0,10.0,70.0,55.0,Stevenage,0.0,4.0,59.0,16.0,1.20452,1.99095,20.0,16.0,20.0,0.0,16.365029999999994,86629,0.0,0.0,285,0.0,0.5856899999999999,0.0,1.37212,70.0,STEV,10.0,2019-06-09 01:00,2019-05-25 16:39
1.0,16.0,85.0,43.0,Lincoln City,0.0,30.0,73.0,7.0,1.10353,1.80702,23.0,7.0,23.0,1.0,16.26669,73665,0.0,1.0,314,0.0,0.4847,0.0,1.18819,85.0,LCN,16.0,2019-06-09 01:00,2019-05-25 16:39
